 BLDW   55.1909 -162.7877 GD 14 14  3.06  0.88    4
 PTHD   56.9517 -158.6502 GD 35 35  2.99  1.07   23
 Q18K   58.6484 -155.0086 GD 62 62  3.76  1.26   42
 AUSB   59.3330 -153.4284 GD 71 71  4.42  1.90   43
 M16K   61.0224 -158.9593 GD 17 17  4.29  0.83   57
 SPNN   61.3662 -152.7012 GD 66 66  5.55  2.08   60
 CAPN   60.7683 -151.1539 GD 64 64  5.55  2.14   61
  BMR   60.9677 -144.6051 GD 47 47  7.71  3.46   64
  CRQ   60.7523 -143.0926 GD 45 45  7.87  3.69   65
 LOGN   60.8240 -141.0048 GD 42 42  7.93  3.95   66
 BRWY   61.3704 -139.0338 GD 30 30  7.91  4.01   67
 L22K   62.5258 -150.7703 GD 52 52  6.96  1.99   78
 WAT7   62.8331 -148.8476 GD 62 62  8.20  2.66   79
  DHY   63.0753 -147.3759 GD 52 52  8.79  2.86   80
  PAX   62.9699 -145.4699 GD 51 51  9.19  2.88   81
 L26K   63.0254 -143.3478 GD 45 45  9.23  3.02   82
 GCSA   64.7461 -156.8792 GD 15 15  5.86  1.39   92
 H20K   65.4924 -154.8808 GD 21 21  6.07  1.37   93
  MLY   65.0304 -150.7442 GD 37 37  7.75  2.79   95
 I23K   65.1479 -149.3603 GD 38 38  8.10  2.94   96
 POKR   65.1171 -147.4335 GD 40 40  8.20  2.99   97
 J25K   64.6130 -145.3697 GD 37 37  8.90  2.74   98
 I26K   65.3064 -143.1541 GD 23 23  9.86  3.04   99
 PS05   66.8133 -150.6646 GD 25 25  6.75  2.62  112
 G24K   66.7004 -147.4754 GD 27 27  7.50  3.31  114
  FYU   66.5657 -145.2342 GD 24 24  7.79  3.56  115
 D22K   68.8799 -152.6821 GD 17 17  4.66  1.01  128
