 T42A   37.0301  -91.0927 GD 36 36  3.44  0.98    2
 T45A   37.0196  -88.6447 GD 41 41  3.59  1.16    3
 T47A   36.9881  -87.1055 GD 28 28  3.83  1.27    4
 Q41A   38.9539  -91.2317 GD 32 32  3.92  1.37    7
 Q44A   38.9032  -89.0170 GD 44 44  3.74  1.33    8
 Q46A   39.0231  -87.3575 GD 38 38  3.86  1.44    9
 N41A   40.7077  -90.8552 GD 35 35  4.63  1.33   12
 N43A   40.9394  -89.1735 GD 44 44  4.50  1.48   13
 N46A   40.8949  -86.7352 GD 26 26  4.33  1.59   14
 K40A   42.6999  -91.1383 GD 34 34  4.87  1.15   17
 J42A   43.3179  -89.1234 GD 38 38  4.99  1.42   18
 SPMN   45.2246  -92.8037 GD 19 19  5.01  1.03   21
 G39A   45.2867  -91.1698 GD 29 29  5.12  1.25   22
 G41A   45.2118  -89.1816 GD 36 36  5.37  1.50   23
 D41A   47.0605  -88.5657 GD 18 18  6.45  2.39   28
