 T42A   37.0301  -91.0927 GD 36 36  6.87  1.94    2
 T45A   37.0196  -88.6447 GD 41 41  9.05  4.09    3
 T47A   36.9881  -87.1055 GD 28 28  9.88  4.52    4
 Q41A   38.9539  -91.2317 GD 32 32  7.03  2.17    7
 Q44A   38.9032  -89.0170 GD 44 44  8.33  3.90    8
 Q46A   39.0231  -87.3575 GD 38 38  8.78  4.35    9
 N41A   40.7077  -90.8552 GD 35 35  6.62  2.15   12
 N43A   40.9394  -89.1735 GD 44 44  6.88  2.86   13
 N46A   40.8949  -86.7352 GD 26 26  7.69  3.32   14
 K40A   42.6999  -91.1383 GD 34 34  6.36  1.75   17
 J42A   43.3179  -89.1234 GD 38 38  6.69  1.90   18
 SPMN   45.2246  -92.8037 GD 19 19  6.67  2.00   21
 G39A   45.2867  -91.1698 GD 29 29  6.84  2.08   22
 G41A   45.2118  -89.1816 GD 36 36  6.91  1.98   23
 D41A   47.0605  -88.5657 GD 18 18  6.53  2.04   28
