 92 :   64.8856 -156.1960  327.06 :   64.7461 -156.8792  GCSA grid:   65.0000 -157.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   88.84 baz:  206.80 residPP(T/U/B)    0.98 -0.04 -2.00 predPP(T/U) 934.92 7.84 measPPBeam(T/U/AMP) 935.90 7.80 -0.471 measPPxf(T/U/F/rB/aB) 938.96 7.80  15.66 -2.00 -155.00 fmin 0.05 fmax 0.50 SNRbeam  5.54 SNRmean  2.60 SNRstdev  1.41 SNRminmax  0.95  5.17 amp: -1.0 -1 SAME : NOCONT   NONE stanum 16	sta J17K H16K K20K J19K H17K CAST GCSA G17K J20K CHUM H20K F18K G19K I21K H21K F20K notused CAST
 93 :   65.4246 -153.7900  410.12 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   89.79 baz:  209.00 residPP(T/U/B)   -1.15 0.19 -4.00 predPP(T/U) 942.35 7.81 measPPBeam(T/U/AMP) 941.20 8.00 -0.482 measPPxf(T/U/F/rB/aB) 944.09 8.00  24.57 -4.00 -155.00 fmin 0.05 fmax 0.50 SNRbeam  8.90 SNRmean  3.16 SNRstdev  1.38 SNRminmax  0.95  6.13 amp: -1.0 -1 SAME : NOCONT   NONE stanum 24	sta K20K J19K H17K CAST GCSA G17K J20K CHUM BPAW H20K F18K G19K I21K MLY H21K I23K H22K F20K E19K PS06 H23K F21K PS05 G23K notused BPAW
 95 :   64.7708 -149.9880  616.07 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   90.05 baz:  212.40 residPP(T/U/B)   -2.55 0.40 -6.00 predPP(T/U) 944.35 7.80 measPPBeam(T/U/AMP) 941.80 8.20 -0.351 measPPxf(T/U/F/rB/aB) 944.52 8.20  25.31 -6.00 -154.00 fmin 0.05 fmax 0.50 SNRbeam  8.10 SNRmean  3.12 SNRstdev  1.15 SNRminmax  1.50  6.13 amp: -1.0 -1 SAME : NOCONT   NONE stanum 36	sta K20K J19K CAST J20K WAT7 CHUM WAT1 KTH TRF RND BPAW DHY MCK H20K I21K MLY NEA2 H21K WRH K24K CCB HDA I23K PS08 MDM H22K PS07 PS06 H23K J25K F21K H24K PS05 G23K COLD G24K notused BPAW
 96 :   64.6954 -149.3430  635.81 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   90.14 baz:  213.00 residPP(T/U/B)   -2.97 0.61 -8.00 predPP(T/U) 945.02 7.79 measPPBeam(T/U/AMP) 942.05 8.40 -0.341 measPPxf(T/U/F/rB/aB) 944.67 8.40  20.25 -8.00 -155.00 fmin 0.05 fmax 0.50 SNRbeam  7.00 SNRmean  3.12 SNRstdev  1.04 SNRminmax  1.50  5.62 amp: -1.0 -1 SAME : NOCONT   NONE stanum 35	sta CAST J20K WAT7 CHUM WAT1 KTH TRF RND BPAW DHY MCK H20K I21K PS10 MLY NEA2 H21K WRH K24K CCB HDA RIDG I23K PS08 MDM H22K PS07 PS06 H23K J25K H24K PS05 G23K COLD G24K notused BPAW
 97 :   64.2863 -147.4310  737.93 :   64.5422 -146.8221  PS08 grid:   65.0000 -147.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   90.25 baz:  214.80 residPP(T/U/B)   -2.10 0.21  2.00 predPP(T/U) 945.95 7.79 measPPBeam(T/U/AMP) 943.85 8.00 -0.317 measPPxf(T/U/F/rB/aB) 946.97 8.00  21.87 2.00 -143.00 fmin 0.05 fmax 0.50 SNRbeam  5.77 SNRmean  2.83 SNRstdev  0.89 SNRminmax  1.50  4.57 amp: -1.0 -1 SAME : NOCONT   NONE stanum 38	sta WAT7 CHUM WAT1 WAT6 KTH TRF RND BPAW DHY HARP MCK PAX I21K PS10 MLY NEA2 WRH K24K L26K CCB HDA RIDG I23K DOT PS08 MDM H22K SCRK PS07 PS06 H23K J25K J26L H24K K27K I26K G24K I27K notused BPAW
 98 :   64.1935 -146.8220  763.76 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   90.33 baz:  215.30 residPP(T/U/B)   -1.94 0.21  4.00 predPP(T/U) 946.54 7.79 measPPBeam(T/U/AMP) 944.60 8.00 -0.349 measPPxf(T/U/F/rB/aB) 949.07 8.00  26.91 4.00 -141.00 fmin 0.05 fmax 0.50 SNRbeam  6.53 SNRmean  2.79 SNRstdev  0.89 SNRminmax  1.44  4.57 amp: -1.0 -1 SAME : NOCONT   NONE stanum 35	sta WAT7 WAT1 WAT6 TRF RND BPAW DHY HARP MCK PAX M26K PS10 MLY NEA2 WRH K24K L26K CCB HDA RIDG I23K DOT PS08 MDM SCRK PS07 PS06 H23K J25K J26L H24K K27K I26K G24K I27K notused BPAW
 99 :   64.6678 -145.3380  665.00 :   65.3064 -143.1541  I26K grid:   65.0000 -143.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   91.09 baz:  216.60 residPP(T/U/B)   -1.50 0.44  4.00 predPP(T/U) 952.45 7.76 measPPBeam(T/U/AMP) 950.95 8.20 -0.464 measPPxf(T/U/F/rB/aB) 954.81 8.20  29.30 4.00 -139.00 fmin 0.05 fmax 0.50 SNRbeam  6.56 SNRmean  3.15 SNRstdev  1.15 SNRminmax  1.64  5.82 amp: -1.0 -1 SAME : NOCONT   NONE stanum 20	sta PS10 WRH K24K L26K CCB HDA RIDG DOT PS08 MDM SCRK PS07 J25K J26L H24K K27K I26K G24K I27K G27K notused CCB
109 :   67.5765 -156.9440  448.47 :   67.4572 -157.2316  E19K grid:   67.0000 -157.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   91.12 baz:  206.10 residPP(T/U/B)   -0.07 0.04  0.00 predPP(T/U) 952.67 7.76 measPPBeam(T/U/AMP) 952.60 7.80 -0.810 measPPxf(T/U/F/rB/aB) 956.94 7.80  60.03 0.00 -154.00 fmin 0.05 fmax 0.50 SNRbeam 12.45 SNRmean  4.50 SNRstdev  1.62 SNRminmax  1.50  6.67 amp: -1.0 -1 SAME : NOCONT   NONE stanum 15	sta G17K H20K F18K G19K D17K RDOG F20K E19K F21K C19K D20K E21K E22K C21K D22K notused C19K
111 :   67.0917 -152.3990  544.04 :   67.2221 -153.4830  F21K grid:   67.0000 -153.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   91.52 baz:  210.30 residPP(T/U/B)   -0.67 0.26 -2.00 predPP(T/U) 955.77 7.74 measPPBeam(T/U/AMP) 955.10 8.00 -0.629 measPPxf(T/U/F/rB/aB) 959.78 8.00  39.15 -2.00 -152.00 fmin 0.05 fmax 0.50 SNRbeam 14.01 SNRmean  4.52 SNRstdev  1.55 SNRminmax  2.54  6.30 amp: -1.0 -1 SAME : NOCONT   NONE stanum 22	sta H20K G19K I21K MLY H21K H22K F20K E19K PS06 H23K F21K PS05 G23K COLD D20K E21K E22K C21K D22K E24K PS04 TOLK notused C21K
112 :   66.4697 -150.6060  528.80 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   91.35 baz:  211.90 residPP(T/U/B)   -1.32 0.05 -6.00 predPP(T/U) 954.47 7.75 measPPBeam(T/U/AMP) 953.15 7.80 -0.572 measPPxf(T/U/F/rB/aB) 956.01 7.80  41.19 -6.00 -154.00 fmin 0.05 fmax 0.50 SNRbeam  9.66 SNRmean  4.03 SNRstdev  1.49 SNRminmax  2.06  6.28 amp: -1.0 -1 SAME : NOCONT   NONE stanum 25	sta H20K I21K MLY NEA2 H21K CCB I23K MDM H22K F20K PS07 PS06 H23K F21K H24K PS05 G23K COLD G24K E21K E22K D22K E24K PS04 TOLK notused CCB
114 :   65.9542 -148.7100  532.19 :   66.7004 -147.4754  G24K grid:   67.0000 -147.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   91.33 baz:  213.60 residPP(T/U/B)   -1.67 0.45 -4.00 predPP(T/U) 954.32 7.75 measPPBeam(T/U/AMP) 952.65 8.20 -0.492 measPPxf(T/U/F/rB/aB) 955.42 8.20  35.21 -4.00 -150.00 fmin 0.05 fmax 0.50 SNRbeam  7.10 SNRmean  3.84 SNRstdev  1.36 SNRminmax  2.06  6.28 amp: -1.0 -1 SAME : NOCONT   NONE stanum 26	sta I21K MLY NEA2 H21K WRH CCB HDA I23K PS08 MDM H22K PS07 PS06 H23K J25K H24K PS05 G23K COLD I26K G24K E22K E24K PS04 TOLK G27K notused CCB
126 :   68.7785 -156.2650  351.02 :   68.7132 -156.6132  D20K grid:   69.0000 -157.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   92.31 baz:  206.80 residPP(T/U/B)   -0.11 -0.12  0.00 predPP(T/U) 961.86 7.72 measPPBeam(T/U/AMP) 961.75 7.60 -0.863 measPPxf(T/U/F/rB/aB) 964.38 7.60  67.43 0.00 -153.00 fmin 0.05 fmax 0.50 SNRbeam 17.36 SNRmean  5.36 SNRstdev  1.40 SNRminmax  3.77  8.27 amp: -1.0 -1 SAME : NOCONT   NONE stanum 15	sta F18K F20K E19K F21K B18K C19K D20K E21K E22K C21K A19K D22K B20K B22K A22K notused A19K
127 :   68.9831 -154.2250  424.08 :   69.1565 -154.7833  C21K grid:   69.0000 -155.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   92.83 baz:  208.60 residPP(T/U/B)    2.05 -0.10  0.00 predPP(T/U) 965.90 7.70 measPPBeam(T/U/AMP) 967.95 7.60 -0.871 measPPxf(T/U/F/rB/aB) 968.51 7.60 101.96 0.00 -151.00 fmin 0.05 fmax 0.50 SNRbeam 35.73 SNRmean  5.89 SNRstdev  1.66 SNRminmax  3.77 10.06 amp: -1.0 -1 SAME : NOCONT   NONE stanum 16	sta F20K E19K F21K C19K D20K E21K E22K C21K D22K PS04 B20K TOLK B22K C23K A22K A21K notused A21K
128 :   68.5467 -152.6000  439.17 :   68.8799 -152.6821  D22K grid:   69.0000 -153.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   92.74 baz:  210.10 residPP(T/U/B)   -0.14 -0.11  0.00 predPP(T/U) 965.19 7.71 measPPBeam(T/U/AMP) 965.05 7.60 -0.775 measPPxf(T/U/F/rB/aB) 967.59 7.60  64.95 0.00 -150.00 fmin 0.05 fmax 0.50 SNRbeam 17.99 SNRmean  5.47 SNRstdev  2.05 SNRminmax  3.77  6.31 amp: -1.0 -1 SAME : NOCONT   NONE stanum 19	sta F20K E19K F21K PS05 G23K COLD D20K E21K E22K C21K D22K E24K PS04 B20K TOLK B22K C23K A22K PS01 notused A22K
