 OHAK   57.2225 -153.2875 GD 24 24  2.71  0.81   26
 P18K   59.3922 -155.2292 GD 55 55  2.39  0.84   42
 AUSB   59.3330 -153.4284 GD 57 57  2.47  0.84   43
 M16K   61.0224 -158.9593 GD 18 18  2.07  0.71   57
 SPWE   61.2735 -152.5590 GD 65 65  2.28  0.87   60
 CAPN   60.7683 -151.1539 GD 67 67  2.34  0.83   61
  GLI   60.8792 -147.0959 GD 53 53  2.26  0.69   63
  BMR   60.9677 -144.6051 GD 51 51  2.29  0.70   64
  TGL   60.7541 -142.8292 GD 48 48  2.37  0.75   65
 LOGN   60.8240 -141.0048 GD 42 42  2.31  0.78   66
 BRWY   61.3704 -139.0338 GD 27 27  2.30  0.87   67
 WAT7   62.8331 -148.8476 GD 59 59  2.31  0.84   79
  DHY   63.0753 -147.3759 GD 49 49  2.34  0.88   80
  PAX   62.9699 -145.4699 GD 47 47  2.35  0.89   81
 L26K   63.0254 -143.3478 GD 39 39  2.45  0.82   82
 GCSA   64.7461 -156.8792 GD 16 16  2.17  0.67   92
 H20K   65.4924 -154.8808 GD 21 21  2.46  0.95   93
  MLY   65.0304 -150.7442 GD 31 31  2.50  1.15   95
 I23K   65.1479 -149.3603 GD 29 29  2.56  1.18   96
 POKR   65.1171 -147.4335 GD 31 31  2.64  1.11   97
 F21K   67.2221 -153.4830 GD 19 19  2.58  0.98  111
 PS05   66.8133 -150.6646 GD 21 21  2.62  1.01  112
 G24K   66.7004 -147.4754 GD 20 20  2.94  1.23  114
 D22K   68.8799 -152.6821 GD 14 14  2.71  1.02  128
