 T42A   37.0301  -91.0927 GD 36 36  9.69  2.74    2
 T45A   37.0196  -88.6447 GD 41 41  9.36  2.63    3
 T47A   36.9881  -87.1055 GD 28 28  9.33  2.37    4
 Q41A   38.9539  -91.2317 GD 32 32  8.51  2.08    7
 Q44A   38.9032  -89.0170 GD 44 44  8.72  2.30    8
 Q46A   39.0231  -87.3575 GD 38 38  8.85  2.67    9
 N41A   40.7077  -90.8552 GD 35 35  8.72  2.58   12
 N43A   40.9394  -89.1735 GD 44 44  8.56  2.62   13
 N46A   40.8949  -86.7352 GD 26 26  8.97  2.49   14
 K40A   42.6999  -91.1383 GD 34 34  8.92  2.69   17
 J42A   43.3179  -89.1234 GD 38 38  8.68  2.81   18
 SPMN   45.2246  -92.8037 GD 19 19  8.04  2.35   21
 G39A   45.2867  -91.1698 GD 29 29  7.88  2.46   22
 G41A   45.2118  -89.1816 GD 36 36  7.53  2.39   23
 D41A   47.0605  -88.5657 GD 18 18  7.00  2.21   28
