 CAPN   60.7683 -151.1539 GD 29 29  2.81  0.66   61
  GLI   60.8792 -147.0959 GD 47 47  2.67  0.72   63
  BMR   60.9677 -144.6051 GD 41 41  2.58  0.69   64
  CRQ   60.7523 -143.0926 GD 35 35  2.48  0.63   65
 LOGN   60.8240 -141.0048 GD 27 27  2.46  0.63   66
 L22K   62.5258 -150.7703 GD 31 31  2.76  0.78   78
 WAT7   62.8331 -148.8476 GD 48 48  2.70  0.74   79
  DHY   63.0753 -147.3759 GD 50 50  2.71  0.75   80
  PAX   62.9699 -145.4699 GD 47 47  2.76  0.77   81
 L26K   63.0254 -143.3478 GD 37 37  2.59  0.75   82
 H20K   65.4924 -154.8808 GD 20 20  2.83  0.75   93
  MLY   65.0304 -150.7442 GD 35 35  2.79  0.81   95
 I23K   65.1479 -149.3603 GD 38 38  2.78  0.80   96
 POKR   65.1171 -147.4335 GD 40 40  2.78  0.81   97
 J25K   64.6130 -145.3697 GD 36 36  2.75  0.84   98
 I26K   65.3064 -143.1541 GD 23 23  2.59  0.97   99
 PS05   66.8133 -150.6646 GD 26 26  2.79  0.65  112
 G24K   66.7004 -147.4754 GD 29 29  2.64  0.78  114
  FYU   66.5657 -145.2342 GD 25 25  2.59  0.86  115
 D22K   68.8799 -152.6821 GD 16 16  2.90  0.80  128
