 OHAK   57.2225 -153.2875 GD 34 34  3.02  0.67   26
 Q18K   58.6484 -155.0086 GD 55 55  3.07  0.74   42
 AUSB   59.3330 -153.4284 GD 67 67  3.06  0.71   43
 SPWE   61.2735 -152.5590 GD 67 67  3.36  0.94   60
 CAPN   60.7683 -151.1539 GD 69 69  3.38  0.86   61
  GLI   60.8792 -147.0959 GD 55 55  4.54  1.72   63
  BMR   60.9677 -144.6051 GD 50 50  5.34  1.63   64
  CRQ   60.7523 -143.0926 GD 48 48  5.58  1.58   65
 LOGN   60.8240 -141.0048 GD 41 41  6.04  1.84   66
 BRWY   61.3704 -139.0338 GD 28 28  6.49  1.93   67
 L22K   62.5258 -150.7703 GD 51 51  3.63  0.98   78
 WAT7   62.8331 -148.8476 GD 63 63  3.87  1.39   79
  DHY   63.0753 -147.3759 GD 53 53  4.31  1.56   80
 L26K   63.0254 -143.3478 GD 43 43  5.33  1.69   82
  MLY   65.0304 -150.7442 GD 36 36  3.14  1.20   95
 I23K   65.1479 -149.3603 GD 36 36  3.22  1.20   96
 POKR   65.1171 -147.4335 GD 36 36  3.27  1.27   97
 J25K   64.6130 -145.3697 GD 35 35  3.73  1.56   98
 PS05   66.8133 -150.6646 GD 19 19  2.48  0.72  112
  FYU   66.5657 -145.2342 GD 18 18  3.01  1.08  115
