 T42A   37.0301  -91.0927 GD 36 36  3.24  1.43    2
 T45A   37.0196  -88.6447 GD 41 41  3.57  1.43    3
 T47A   36.9881  -87.1055 GD 28 28  3.64  1.57    4
 Q41A   38.9539  -91.2317 GD 32 32  2.97  0.97    7
 Q44A   38.9032  -89.0170 GD 44 44  3.13  1.37    8
 Q46A   39.0231  -87.3575 GD 38 38  3.15  1.44    9
 N41A   40.7077  -90.8552 GD 35 35  2.70  1.02   12
 N43A   40.9394  -89.1735 GD 44 44  2.69  1.06   13
 N46A   40.8949  -86.7352 GD 26 26  2.89  1.33   14
 K40A   42.6999  -91.1383 GD 34 34  2.70  0.98   17
 J42A   43.3179  -89.1234 GD 38 38  2.81  0.97   18
 SPMN   45.2246  -92.8037 GD 18 18  2.45  0.66   21
 G39A   45.2867  -91.1698 GD 28 28  2.60  0.83   22
 G41A   45.2118  -89.1816 GD 35 35  2.94  1.08   23
 D41A   47.0605  -88.5657 GD 18 18  3.02  1.21   28
