 T42A   37.0301  -91.0927 GD 36 36  6.97  2.46    2
 T45A   37.0196  -88.6447 GD 41 41  9.01  2.60    3
 T47A   36.9881  -87.1055 GD 28 28 11.10  3.72    4
 Q41A   38.9539  -91.2317 GD 32 32  8.87  2.52    7
 Q44A   38.9032  -89.0170 GD 44 44  9.84  2.78    8
 Q46A   39.0231  -87.3575 GD 38 38 11.62  3.95    9
 N41A   40.7077  -90.8552 GD 35 35  8.32  2.49   12
 N43A   40.9394  -89.1735 GD 44 44  9.20  2.96   13
 N46A   40.8949  -86.7352 GD 26 26 11.25  4.25   14
 K40A   42.6999  -91.1383 GD 34 34  7.45  1.87   17
 J42A   43.3179  -89.1234 GD 38 38  8.08  2.70   18
 SPMN   45.2246  -92.8037 GD 19 19  8.98  2.68   21
 G39A   45.2867  -91.1698 GD 29 29  9.01  2.75   22
 G41A   45.2118  -89.1816 GD 36 36  9.24  2.60   23
 D41A   47.0605  -88.5657 GD 18 18 10.89  2.78   28
