 T42A   37.0301  -91.0927 GD 36 36  4.08  1.99    2
 T45A   37.0196  -88.6447 GD 41 41  3.81  1.73    3
 T47A   36.9881  -87.1055 GD 28 28  3.83  1.87    4
 Q41A   38.9539  -91.2317 GD 32 32  3.84  1.84    7
 Q44A   38.9032  -89.0170 GD 43 43  3.68  1.69    8
 Q46A   39.0231  -87.3575 GD 37 37  3.85  1.84    9
 N41A   40.7077  -90.8552 GD 34 34  4.05  1.98   12
 M43A   41.4365  -88.9581 GD 42 42  4.17  1.90   13
 N46A   40.8949  -86.7352 GD 25 25  3.99  1.60   14
 K40A   42.6999  -91.1383 GD 33 33  3.88  1.83   17
 J42A   43.3179  -89.1234 GD 37 37  3.91  1.92   18
 SPMN   45.2246  -92.8037 GD 19 19  3.63  1.73   21
 G39A   45.2867  -91.1698 GD 29 29  3.76  2.06   22
 G41A   45.2118  -89.1816 GD 36 36  3.72  1.88   23
 D41A   47.0605  -88.5657 GD 18 18  3.31  1.66   28
