 82 :   62.3634 -144.6210 1011.99 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  105.34 baz:  111.60 residPP(T/U/B)    1.34 -0.54  0.00 predPP(T/U) 1085.91 7.34 measPPBeam(T/U/AMP) 1087.25 6.80 -0.792 measPPxf(T/U/F/rB/aB) 1088.35 6.80 123.13 0.00 112.00 fmin 0.05 fmax 0.50 SNRbeam 48.05 SNRmean 14.45 SNRstdev  5.32 SNRminmax  1.70 30.29 amp: -0.8 -1 SAME : NOCONT   NONE stanum 39	sta LOGN GRNC BARN ISLE KIAG BAL TGL PTPK M27K MCAR VRDI GLB M26K BMR L26K MENT PS12 DIV DOT HARP KLU PS11 VMT SCRK J26L PAX RIDG PS10 SCM K24K GREN GRES J25K M23K WAT6 DHY PS08 HDA WAT1 notused BAL
 92 :   64.7706 -156.1850  366.06 :   64.7461 -156.8792  GCSA grid:   65.0000 -157.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  110.95 baz:  100.90 residPP(T/U/B)    3.34 0.06  2.00 predPP(T/U) 1126.51 7.14 measPPBeam(T/U/AMP) 1129.85 7.20 -0.868 measPPxf(T/U/F/rB/aB) 1132.68 7.20  99.35 2.00 103.00 fmin 0.05 fmax 0.50 SNRbeam 45.57 SNRmean 17.66 SNRstdev  6.66 SNRminmax  8.57 33.61 amp: -0.8 -1 SAME : NOCONT   NONE stanum 17	sta CAST CHUM I21K K20K H21K J20K TTA H20K J19K F20K GCSA G19K J17K H17K F18K G17K H16K notused CAST
 93 :   65.4246 -153.7900  410.12 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  110.10 baz:  102.80 residPP(T/U/B)    4.99 0.23  2.00 predPP(T/U) 1120.41 7.17 measPPBeam(T/U/AMP) 1125.40 7.40 -0.763 measPPxf(T/U/F/rB/aB) 1128.40 7.40  80.27 2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam 32.89 SNRmean 15.85 SNRstdev  6.67 SNRminmax  8.06 33.60 amp: -0.8 -1 SAME : NOCONT   NONE stanum 24	sta I23K H23K PS06 BPAW MLY CAST G23K CHUM PS05 H22K I21K K20K H21K J20K F21K H20K J19K F20K GCSA G19K E19K H17K F18K G17K notused BPAW
 95 :   64.8063 -149.6170  589.13 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  108.24 baz:  106.60 residPP(T/U/B)    1.96 -0.84  0.00 predPP(T/U) 1107.04 7.24 measPPBeam(T/U/AMP) 1109.00 6.40 -0.668 measPPxf(T/U/F/rB/aB) 1105.19 6.40  73.48 0.00 107.00 fmin 0.05 fmax 0.50 SNRbeam 18.51 SNRmean 14.27 SNRstdev  5.50 SNRminmax  7.51 28.94 amp: -0.8 -1 SAME : NOCONT   NONE stanum 36	sta K24K GREN GRES J25K DHY PPD PS08 HDA WAT1 WAT7 POKR CCB RND WRH MCK H24K NEA2 G24K I23K H23K PS06 BPAW MLY CAST G23K CHUM COLD PS05 H22K I21K K20K H21K J20K F21K H20K J19K notused BPAW
 96 :   64.7829 -148.8580  595.02 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  107.93 baz:  107.30 residPP(T/U/B)    0.30 -0.45  4.00 predPP(T/U) 1104.75 7.25 measPPBeam(T/U/AMP) 1105.05 6.80 -0.709 measPPxf(T/U/F/rB/aB) 1106.29 6.80  75.86 4.00 111.00 fmin 0.05 fmax 0.50 SNRbeam 32.74 SNRmean 12.79 SNRstdev  3.84 SNRminmax  6.43 21.49 amp: -0.8 -1 SAME : NOCONT   NONE stanum 36	sta RIDG PS10 K24K GREN GRES J25K DHY PPD PS08 HDA FYU WAT1 WAT7 POKR CCB RND WRH MCK H24K NEA2 G24K I23K H23K PS06 BPAW MLY CAST G23K CHUM COLD PS05 H22K I21K H21K J20K H20K notused BPAW
 97 :   64.7314 -147.8020  663.10 :   65.1171 -147.4335  POKR grid:   65.0000 -147.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  107.48 baz:  108.20 residPP(T/U/B)   -6.77 -0.66 -2.00 predPP(T/U) 1101.52 7.26 measPPBeam(T/U/AMP) 1094.75 6.60 -0.734 measPPxf(T/U/F/rB/aB) 1100.32 6.60  95.66 -2.00 106.00 fmin 0.05 fmax 0.50 SNRbeam 33.53 SNRmean 13.06 SNRstdev  3.92 SNRminmax  6.43 21.46 amp: -0.8 -1 SAME : NOCONT   NONE stanum 38	sta I27K DOT SCRK J26L PAX RIDG PS10 K24K GREN GRES J25K DHY PPD PS08 HDA FYU WAT1 WAT7 POKR CCB RND WRH MCK H24K NEA2 G24K I23K H23K PS06 BPAW MLY G23K CHUM COLD PS05 H22K I21K H21K notused BPAW
 98 :   64.2159 -146.6690  741.74 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  106.85 baz:  109.30 residPP(T/U/B)    0.04 -0.69 -2.00 predPP(T/U) 1096.96 7.29 measPPBeam(T/U/AMP) 1097.00 6.60 -0.711 measPPxf(T/U/F/rB/aB) 1096.29 6.60 107.01 -2.00 107.00 fmin 0.05 fmax 0.50 SNRbeam 32.96 SNRmean 13.27 SNRstdev  3.69 SNRminmax  6.43 21.40 amp: -0.8 -1 SAME : NOCONT   NONE stanum 36	sta M26K L26K MENT I27K DOT HARP SCRK J26L PAX RIDG PS10 K24K GREN GRES J25K WAT6 DHY PPD PS08 HDA FYU WAT1 WAT7 POKR CCB RND WRH MCK H24K NEA2 G24K I23K H23K PS06 BPAW MLY notused BPAW
109 :   67.5765 -156.9440  448.47 :   67.4572 -157.2316  E19K grid:   67.0000 -157.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  111.74 baz:   99.20 residPP(T/U/B)   -0.20 -0.51  4.00 predPP(T/U) 1132.15 7.11 measPPBeam(T/U/AMP) 1131.95 6.60 -0.830 measPPxf(T/U/F/rB/aB) 1133.68 6.60  90.26 4.00 103.00 fmin 0.05 fmax 0.50 SNRbeam 50.67 SNRmean 15.19 SNRstdev  5.64 SNRminmax  7.73 26.05 amp: -0.8 -1 SAME : NOCONT   NONE stanum 15	sta E22K F21K D22K H20K E21K F20K C21K G19K D20K E19K F18K C19K G17K RDOG D17K notused C19K
111 :   67.0917 -152.3990  544.04 :   67.2221 -153.4830  F21K grid:   67.0000 -153.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  109.93 baz:  103.40 residPP(T/U/B)    0.45 -0.38  4.00 predPP(T/U) 1119.20 7.18 measPPBeam(T/U/AMP) 1119.65 6.80 -0.885 measPPxf(T/U/F/rB/aB) 1120.90 6.80 123.30 4.00 107.00 fmin 0.05 fmax 0.50 SNRbeam 38.73 SNRmean 13.46 SNRstdev  5.23 SNRminmax  7.55 26.04 amp: -0.8 -1 SAME : NOCONT   NONE stanum 22	sta H23K PS06 E24K MLY G23K COLD PS04 PS05 H22K TOLK I21K H21K E22K F21K D22K H20K E21K F20K C21K G19K D20K E19K notused C21K
112 :   66.4874 -150.2630  555.50 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  108.96 baz:  105.50 residPP(T/U/B)    0.60 -0.41  4.00 predPP(T/U) 1112.25 7.21 measPPBeam(T/U/AMP) 1112.85 6.80 -0.822 measPPxf(T/U/F/rB/aB) 1113.88 6.80  99.15 4.00 109.00 fmin 0.05 fmax 0.50 SNRbeam 40.91 SNRmean 13.05 SNRstdev  5.12 SNRminmax  7.51 26.02 amp: -0.8 -1 SAME : NOCONT   NONE stanum 26	sta PPD FYU POKR CCB H24K NEA2 G24K I23K H23K PS06 E24K MLY G23K COLD PS04 PS05 H22K TOLK I21K H21K E22K F21K D22K H20K E21K F20K notused CCB
114 :   66.0166 -148.6530  566.23 :   66.7004 -147.4754  G24K grid:   67.0000 -147.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  108.21 baz:  107.10 residPP(T/U/B)    0.70 -0.44  4.00 predPP(T/U) 1106.80 7.24 measPPBeam(T/U/AMP) 1107.50 6.80 -0.791 measPPxf(T/U/F/rB/aB) 1108.54 6.80  83.61 4.00 111.00 fmin 0.05 fmax 0.50 SNRbeam 33.59 SNRmean 12.11 SNRstdev  3.73 SNRminmax  7.51 21.50 amp: -0.8 -1 SAME : NOCONT   NONE stanum 26	sta G27K J25K PPD PS08 HDA FYU POKR CCB WRH H24K NEA2 G24K I23K H23K PS06 E24K MLY G23K COLD PS04 PS05 H22K TOLK I21K H21K E22K notused CCB
115 :   65.9815 -147.0180  603.23 :   66.5657 -145.2342   FYU grid:   67.0000 -145.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  107.56 baz:  108.50 residPP(T/U/B)    2.82 -0.46  0.00 predPP(T/U) 1102.13 7.26 measPPBeam(T/U/AMP) 1104.95 6.80 -0.760 measPPxf(T/U/F/rB/aB) 1100.69 6.80  58.80 0.00 108.00 fmin 0.05 fmax 0.50 SNRbeam 20.91 SNRmean 13.12 SNRstdev  3.63 SNRminmax  7.92 20.22 amp: -0.9 -1 SAME : NOCONT   NONE stanum 22	sta I27K J26L G27K E27K J25K PPD PS08 HDA FYU POKR CCB WRH H24K G24K I23K H23K PS06 E24K G23K COLD PS04 PS05 notused CCB
126 :   68.7367 -155.8690  360.24 :   68.7132 -156.6132  D20K grid:   69.0000 -157.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  111.54 baz:   99.70 residPP(T/U/B)    0.41 -0.32  2.00 predPP(T/U) 1130.69 7.12 measPPBeam(T/U/AMP) 1131.10 6.80 -0.835 measPPxf(T/U/F/rB/aB) 1132.77 6.80  84.70 2.00 102.00 fmin 0.05 fmax 0.50 SNRbeam 44.83 SNRmean 16.07 SNRstdev  5.09 SNRminmax  8.93 26.05 amp: -0.9 -1 SAME : NOCONT   NONE stanum 14	sta E22K F21K D22K E21K B22K F20K C21K A22K D20K E19K B20K F18K C19K A19K notused A19K
127 :   68.9831 -154.2250  424.08 :   69.1565 -154.7833  C21K grid:   69.0000 -155.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  111.00 baz:  101.10 residPP(T/U/B)    0.80 -0.34  2.00 predPP(T/U) 1126.85 7.14 measPPBeam(T/U/AMP) 1127.65 6.80 -0.915 measPPxf(T/U/F/rB/aB) 1128.88 6.80 199.25 2.00 103.00 fmin 0.05 fmax 0.50 SNRbeam 45.20 SNRmean 15.22 SNRstdev  5.21 SNRminmax  7.55 26.05 amp: -0.9 -1 SAME : NOCONT   NONE stanum 16	sta PS04 TOLK C23K E22K F21K D22K E21K B22K F20K C21K A22K D20K E19K B20K A21K C19K notused A21K
128 :   68.5467 -152.6000  439.17 :   68.8799 -152.6821  D22K grid:   69.0000 -153.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  110.33 baz:  102.70 residPP(T/U/B)    0.86 -0.36  2.00 predPP(T/U) 1122.09 7.16 measPPBeam(T/U/AMP) 1122.95 6.80 -0.878 measPPxf(T/U/F/rB/aB) 1123.94 6.80 113.14 2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam 46.40 SNRmean 14.33 SNRstdev  5.10 SNRminmax  7.55 26.05 amp: -0.9 -1 SAME : NOCONT   NONE stanum 19	sta E24K G23K COLD PS04 PS05 TOLK PS01 C23K E22K F21K D22K E21K B22K F20K C21K A22K D20K E19K B20K notused A22K
