 T42A   37.0301  -91.0927 GD 36 36  6.57  2.36    2
 T45A   37.0196  -88.6447 GD 41 41  9.19  3.65    3
 T47A   36.9881  -87.1055 GD 28 28 11.34  3.27    4
 Q41A   38.9539  -91.2317 GD 32 32  8.37  2.73    7
 Q44A   38.9032  -89.0170 GD 44 44 10.34  3.77    8
 Q46A   39.0231  -87.3575 GD 38 38 11.48  3.42    9
 N41A   40.7077  -90.8552 GD 35 35 11.26  3.80   12
 N43A   40.9394  -89.1735 GD 44 44 11.86  3.25   13
 N46A   40.8949  -86.7352 GD 26 26 13.21  2.54   14
 K40A   42.6999  -91.1383 GD 34 34 14.41  4.44   17
 J42A   43.3179  -89.1234 GD 38 38 14.25  4.44   18
 SPMN   45.2246  -92.8037 GD 19 19 14.04  5.15   21
 G39A   45.2867  -91.1698 GD 29 29 14.06  4.56   22
 G41A   45.2118  -89.1816 GD 36 36 13.67  3.94   23
 D41A   47.0605  -88.5657 GD 18 18 12.75  2.29   28
