  PAX   62.9699 -145.4699 GD 52 52  7.75  1.00   81
 L26K   63.0254 -143.3478 GD 36 36  7.42  0.87   82
 NEA2   64.5928 -149.0694 GD 22 22  7.86  0.74   96
 POKR   65.1171 -147.4335 GD 20 20  7.90  0.73   97
 J25K   64.6130 -145.3697 GD 26 26  7.82  0.84   98
