 T42A   37.0301  -91.0927 GD 36 36 28.17  8.81    2
 T45A   37.0196  -88.6447 GD 41 41 26.32  6.39    3
 T47A   36.9881  -87.1055 GD 28 28 25.31  4.33    4
 Q41A   38.9539  -91.2317 GD 32 32 23.10  5.82    7
 Q44A   38.9032  -89.0170 GD 44 44 21.39  5.20    8
 Q46A   39.0231  -87.3575 GD 38 38 21.50  5.27    9
 N41A   40.7077  -90.8552 GD 35 35 19.95  4.43   12
 N43A   40.9394  -89.1735 GD 44 44 20.04  5.97   13
 N46A   40.8949  -86.7352 GD 26 26 19.83  6.77   14
 K40A   42.6999  -91.1383 GD 34 34 20.76  5.82   17
 J42A   43.3179  -89.1234 GD 38 38 21.65  5.58   18
 SPMN   45.2246  -92.8037 GD 19 19 22.43  5.46   21
 G39A   45.2867  -91.1698 GD 29 29 22.67  4.85   22
 G41A   45.2118  -89.1816 GD 36 36 23.04  4.87   23
 D41A   47.0605  -88.5657 GD 18 18 23.64  4.69   28
