 78 :   62.0175 -150.9780  888.55 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   98.60 baz:  273.30 residPP(T/U/B)    0.56 0.33 -2.00 predPP(T/U) 1005.19 7.47 measPPBeam(T/U/AMP) 1005.75 7.80 -0.540 measPPxf(T/U/F/rB/aB) 1006.48 7.80  62.11 -2.00 -89.00 fmin 0.05 fmax 0.50 SNRbeam 12.26 SNRmean  6.96 SNRstdev  1.99 SNRminmax  2.42 12.26 amp: -0.9 -1 SAME : NOCONT   NONE stanum 50	sta TTA L19K N19K J20K K20K L20K NCT RDWB RDJH RED SPNN RDSO RDDF REF CHUM SPBG RDT SPCL CAST SPCR N20K SPCN SPU SPCG SPBL STLK SKN BPAW KTH CAPN L22K TRF CUT FIRE SLK RC01 NEA2 MCK RND PMR WAT7 GHO WAT1 WRH KNK SAW PWL WAT6 DHY SCM PS10 PAX notused BPAW
 79 :   62.6570 -148.7860  774.92 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   99.57 baz:  275.40 residPP(T/U/B)   -0.19 -0.64 -4.00 predPP(T/U) 1012.39 7.44 measPPBeam(T/U/AMP) 1012.20 6.80 -0.528 measPPxf(T/U/F/rB/aB) 1013.26 6.80  91.04 -4.00 -89.00 fmin 0.05 fmax 0.50 SNRbeam 14.98 SNRmean  8.20 SNRstdev  2.66 SNRminmax  2.42 15.91 amp: -0.9 -1 SAME : NOCONT   NONE stanum 62	sta K20K L20K SPNN CHUM SPBG SPCL CAST SPCR N20K SPCN SPU SPCG SPBL STLK SKN BPAW MLY KTH CAPN L22K TRF CUT FIRE SLK I23K RC01 NEA2 MCK RND PMR WAT7 MDM GHO WAT1 WRH CCB KNK SAW POKR PWL WAT6 DHY HDA PS08 SCM K24K GRES GREN J25K PS10 VMT KLU PAX DIV PS11 RIDG HARP PS12 SCRK N25K WACK MENT notused BPAW
 80 :   62.9762 -147.4790  757.24 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  100.13 baz:  276.60 residPP(T/U/B)   -2.25 -0.62 -4.00 predPP(T/U) 1016.55 7.42 measPPBeam(T/U/AMP) 1014.30 6.80 -0.458 measPPxf(T/U/F/rB/aB) 1016.99 6.80 113.95 -4.00 -87.00 fmin 0.05 fmax 0.50 SNRbeam 22.54 SNRmean  8.79 SNRstdev  2.86 SNRminmax  2.42 15.92 amp: -0.9 -1 SAME : NOCONT   NONE stanum 52	sta CHUM CAST SKN BPAW MLY KTH L22K TRF CUT FIRE I23K RC01 NEA2 MCK RND PMR WAT7 MDM GHO WAT1 WRH CCB KNK SAW POKR PWL WAT6 DHY HDA PS08 SCM K24K GRES GREN J25K PS10 VMT KLU PAX DIV PS11 RIDG HARP PS12 SCRK J26L N25K WACK BMR MENT L26K GLB notused BMR
 81 :   62.7352 -146.0320  869.54 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  100.81 baz:  277.90 residPP(T/U/B)   -1.13 -1.20 -4.00 predPP(T/U) 1021.63 7.40 measPPBeam(T/U/AMP) 1020.50 6.20 -0.428 measPPxf(T/U/F/rB/aB) 1022.02 6.20 113.83 -4.00 -86.00 fmin 0.05 fmax 0.50 SNRbeam  9.75 SNRmean  9.19 SNRstdev  2.88 SNRminmax  2.98 15.92 amp: -0.9 -1 SAME : NOCONT   NONE stanum 51	sta L22K TRF CUT NEA2 MCK RND PMR WAT7 MDM GHO WAT1 WRH CCB KNK SAW POKR WAT6 DHY HDA PS08 SCM K24K GRES GREN J25K PS10 VMT KLU PAX DIV PS11 RIDG EYAK HARP PS12 SCRK J26L N25K WACK BMR MENT L26K GLB VRDI K27K MCAR CRQ PTPK M27K BAL BVCY notused BAL
 82 :   62.3900 -144.0700 1093.07 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  101.76 baz:  279.60 residPP(T/U/B)    0.19 0.04  2.00 predPP(T/U) 1028.61 7.36 measPPBeam(T/U/AMP) 1028.80 7.40 -0.448 measPPxf(T/U/F/rB/aB) 1029.46 7.40  72.19 2.00 -78.00 fmin 0.05 fmax 0.50 SNRbeam 28.81 SNRmean  9.23 SNRstdev  3.02 SNRminmax  3.98 15.91 amp: -0.9 -1 SAME : NOCONT   NONE stanum 44	sta WAT1 WAT6 DHY HDA PS08 SCM K24K GRES GREN J25K PS10 VMT KLU PAX DIV PS11 RIDG HARP PS12 SCRK J26L I26K N25K WACK BMR MENT L26K GLB VRDI K27K MCAR CRQ TGL PTPK M27K BAL KIAG ISLE BARN GRNC BVCY DAWY LOGN YUK3 YUK8 notused BAL
 92 :   64.6679 -155.8760  362.40 :   64.7461 -156.8792  GCSA grid:   65.0000 -157.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   96.34 baz:  269.30 residPP(T/U/B)    0.32 -0.55  4.00 predPP(T/U) 988.23 7.55 measPPBeam(T/U/AMP) 988.55 7.00 -0.653 measPPxf(T/U/F/rB/aB) 990.98 7.00  41.99 4.00 -87.00 fmin 0.05 fmax 0.50 SNRbeam 10.94 SNRmean  5.86 SNRstdev  1.39 SNRminmax  3.42  7.93 amp: -0.9 -1 SAME : NOCONT   NONE stanum 15	sta H16K G17K F18K J17K GCSA TTA F20K J19K H20K J20K K20K H21K CHUM I21K CAST notused CAST
 93 :   65.3280 -153.3560  402.81 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   97.40 baz:  271.70 residPP(T/U/B)    0.89 -0.11 -2.00 predPP(T/U) 996.21 7.51 measPPBeam(T/U/AMP) 997.10 7.40 -0.654 measPPxf(T/U/F/rB/aB) 999.67 7.40  68.72 -2.00 -90.00 fmin 0.05 fmax 0.50 SNRbeam 19.30 SNRmean  6.07 SNRstdev  1.37 SNRminmax  3.14  8.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 21	sta G17K F18K E19K GCSA F20K J19K H20K J20K K20K H21K CHUM I21K CAST H22K PS05 BPAW MLY G23K PS06 H23K I23K notused BPAW
 95 :   64.6554 -149.6390  611.39 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   99.01 baz:  275.00 residPP(T/U/B)    0.36 -0.26 -2.00 predPP(T/U) 1008.24 7.46 measPPBeam(T/U/AMP) 1008.60 7.20 -0.587 measPPxf(T/U/F/rB/aB) 1011.04 7.20 109.84 -2.00 -87.00 fmin 0.05 fmax 0.50 SNRbeam 23.58 SNRmean  7.75 SNRstdev  2.79 SNRminmax  3.26 15.86 amp: -0.9 -1 SAME : NOCONT   NONE stanum 37	sta J19K H20K J20K K20K H21K CHUM I21K CAST H22K PS05 BPAW MLY KTH COLD G23K TRF PS06 H23K I23K NEA2 MCK RND WAT7 MDM H24K WAT1 G24K WRH CCB POKR DHY HDA PS08 K24K GRES GREN J25K notused BPAW
 96 :   64.7007 -149.0210  616.59 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   99.27 baz:  275.50 residPP(T/U/B)    0.33 -0.45 -2.00 predPP(T/U) 1010.17 7.45 measPPBeam(T/U/AMP) 1010.50 7.00 -0.530 measPPxf(T/U/F/rB/aB) 1013.18 7.00  98.49 -2.00 -86.00 fmin 0.05 fmax 0.50 SNRbeam 19.69 SNRmean  8.10 SNRstdev  2.94 SNRminmax  3.26 15.89 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta H20K J20K H21K CHUM I21K CAST H22K PS05 BPAW MLY KTH COLD G23K TRF PS06 H23K I23K NEA2 MCK RND WAT7 MDM H24K WAT1 G24K WRH CCB POKR DHY HDA PS08 FYU K24K GRES GREN J25K PS10 RIDG notused BPAW
 97 :   64.6974 -147.9870  671.81 :   65.1171 -147.4335  POKR grid:   65.0000 -147.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   99.71 baz:  276.50 residPP(T/U/B)    0.16 -0.83  0.00 predPP(T/U) 1013.44 7.43 measPPBeam(T/U/AMP) 1013.60 6.60 -0.527 measPPxf(T/U/F/rB/aB) 1015.88 6.60 104.11 0.00 -84.00 fmin 0.05 fmax 0.50 SNRbeam 16.71 SNRmean  8.20 SNRstdev  2.99 SNRminmax  3.26 15.91 amp: -0.9 -1 SAME : NOCONT   NONE stanum 40	sta H21K CHUM I21K H22K PS05 BPAW MLY KTH COLD G23K TRF PS06 H23K I23K NEA2 MCK RND WAT7 MDM H24K WAT1 G24K WRH CCB POKR DHY HDA PS08 FYU K24K GRES GREN J25K PS10 PAX RIDG SCRK J26L I26K I27K notused BPAW
 98 :   64.2690 -146.7900  731.07 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  100.27 baz:  277.50 residPP(T/U/B)    0.62 -1.21 -2.00 predPP(T/U) 1017.63 7.42 measPPBeam(T/U/AMP) 1018.25 6.20 -0.518 measPPxf(T/U/F/rB/aB) 1019.38 6.20 110.26 -2.00 -85.00 fmin 0.05 fmax 0.50 SNRbeam 10.82 SNRmean  8.90 SNRstdev  2.74 SNRminmax  5.58 15.92 amp: -0.9 -1 SAME : NOCONT   NONE stanum 37	sta BPAW MLY TRF PS06 H23K I23K NEA2 MCK RND WAT7 MDM H24K WAT1 G24K WRH CCB POKR WAT6 DHY HDA PS08 FYU K24K GRES GREN J25K PS10 PAX RIDG HARP SCRK J26L I26K MENT L26K I27K K27K notused BPAW
 99 :   64.5301 -145.2160  634.39 :   65.3064 -143.1541  I26K grid:   65.0000 -143.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  100.91 baz:  279.00 residPP(T/U/B)   -0.09 -0.79 -4.00 predPP(T/U) 1022.34 7.39 measPPBeam(T/U/AMP) 1022.25 6.60 -0.523 measPPxf(T/U/F/rB/aB) 1022.94 6.60  51.55 -4.00 -85.00 fmin 0.05 fmax 0.50 SNRbeam 12.70 SNRmean  9.86 SNRstdev  3.04 SNRminmax  5.58 15.92 amp: -0.9 -1 SAME : NOCONT   NONE stanum 23	sta MDM H24K G24K WRH CCB POKR HDA PS08 FYU K24K GRES GREN J25K PS10 RIDG SCRK J26L I26K MENT L26K I27K K27K DAWY notused CCB
112 :   66.4229 -149.9060  518.84 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   98.75 baz:  275.00 residPP(T/U/B)    1.12 -0.27  0.00 predPP(T/U) 1006.28 7.47 measPPBeam(T/U/AMP) 1007.40 7.20 -0.552 measPPxf(T/U/F/rB/aB) 1009.37 7.20  55.42 0.00 -85.00 fmin 0.05 fmax 0.50 SNRbeam 12.37 SNRmean  6.75 SNRstdev  2.62 SNRminmax  3.26 15.18 amp: -0.9 -1 SAME : NOCONT   NONE stanum 25	sta F20K H20K D22K H21K E22K I21K H22K PS05 MLY COLD TOLK G23K PS04 PS06 H23K I23K E24K NEA2 MDM H24K G24K CCB POKR E25K FYU notused CCB
114 :   66.0183 -148.6950  524.15 :   66.7004 -147.4754  G24K grid:   67.0000 -147.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   99.27 baz:  276.00 residPP(T/U/B)    0.51 -0.65  0.00 predPP(T/U) 1010.19 7.45 measPPBeam(T/U/AMP) 1010.70 6.80 -0.540 measPPxf(T/U/F/rB/aB) 1012.20 6.80  62.05 0.00 -84.00 fmin 0.05 fmax 0.50 SNRbeam 10.70 SNRmean  7.50 SNRstdev  3.31 SNRminmax  3.26 15.89 amp: -0.9 -1 SAME : NOCONT   NONE stanum 27	sta H21K E22K I21K H22K PS05 MLY COLD TOLK G23K PS04 PS06 H23K I23K E24K NEA2 MDM H24K G24K WRH CCB POKR HDA E25K PS08 FYU J25K I26K notused CCB
115 :   66.0528 -146.8350  552.71 :   66.5657 -145.2342   FYU grid:   67.0000 -145.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  100.02 baz:  277.80 residPP(T/U/B)   -0.14 -0.82  0.00 predPP(T/U) 1015.74 7.42 measPPBeam(T/U/AMP) 1015.60 6.60 -0.537 measPPxf(T/U/F/rB/aB) 1017.25 6.60  53.48 0.00 -82.00 fmin 0.05 fmax 0.50 SNRbeam 13.08 SNRmean  7.79 SNRstdev  3.56 SNRminmax  3.26 15.92 amp: -0.9 -1 SAME : NOCONT   NONE stanum 24	sta PS05 COLD G23K PS04 PS06 H23K I23K E24K MDM H24K G24K WRH CCB POKR HDA E25K PS08 FYU J25K J26L I26K E27K I27K CROWY notused CCB
128 :   68.6308 -152.4670  417.31 :   68.8799 -152.6821  D22K grid:   69.0000 -153.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   97.62 baz:  272.90 residPP(T/U/B)    1.07 0.30 -2.00 predPP(T/U) 997.83 7.50 measPPBeam(T/U/AMP) 998.90 7.80 -0.403 measPPxf(T/U/F/rB/aB) 1000.37 7.80  38.93 -2.00 -89.00 fmin 0.05 fmax 0.50 SNRbeam 15.46 SNRmean  4.66 SNRstdev  1.01 SNRminmax  3.22  6.43 amp: -0.9 -1 SAME : NOCONT   NONE stanum 17	sta E19K B20K D20K F20K A22K C21K B22K D22K E22K C23K PS05 COLD TOLK G23K PS04 PS01 E24K notused A22K
