 OHAK   57.2225 -153.2875 GD 27 27  5.20  1.83   26
 Q18K   58.6484 -155.0086 GD 48 48  4.28  1.83   42
 AUJA   59.3395 -153.4227 GD 60 60  4.21  1.93   43
 SPWE   61.2735 -152.5590 GD 59 59  3.82  1.63   60
 CAPN   60.7683 -151.1539 GD 61 61  3.88  1.62   61
  GLI   60.8792 -147.0959 GD 56 56  4.83  1.72   63
  BMR   60.9677 -144.6051 GD 51 51  5.17  1.34   64
  CRQ   60.7523 -143.0926 GD 48 48  5.38  1.47   65
 LOGN   60.8240 -141.0048 GD 41 41  5.71  1.52   66
 BRWY   61.3704 -139.0338 GD 28 28  6.07  1.43   67
 L22K   62.5258 -150.7703 GD 51 51  4.16  1.35   78
 WAT7   62.8331 -148.8476 GD 64 64  4.81  1.49   79
  DHY   63.0753 -147.3759 GD 54 54  5.29  1.46   80
 L26K   63.0254 -143.3478 GD 43 43  5.69  1.43   82
  MLY   65.0304 -150.7442 GD 36 36  5.53  1.41   95
 I23K   65.1479 -149.3603 GD 36 36  5.52  1.36   96
 POKR   65.1171 -147.4335 GD 36 36  5.52  1.36   97
 J25K   64.6130 -145.3697 GD 35 35  5.76  1.40   98
 PS05   66.8133 -150.6646 GD 19 19  5.59  1.50  112
  FYU   66.5657 -145.2342 GD 18 18  5.75  1.54  115
