 BLDW   55.1909 -162.7877 GD 14 14  2.65  0.71    4
 PTHD   56.9517 -158.6502 GD 35 35  2.80  0.74   23
 Q18K   58.6484 -155.0086 GD 59 59  2.96  0.73   42
 AUSB   59.3330 -153.4284 GD 67 67  2.90  0.76   43
 SPNN   61.3662 -152.7012 GD 61 61  2.89  0.75   60
 CAPN   60.7683 -151.1539 GD 60 60  2.86  0.77   61
  BMR   60.9677 -144.6051 GD 43 43  2.66  0.81   64
  CRQ   60.7523 -143.0926 GD 40 40  2.65  0.81   65
 LOGN   60.8240 -141.0048 GD 37 37  2.69  0.82   66
 BRWY   61.3704 -139.0338 GD 25 25  2.68  0.85   67
 L22K   62.5258 -150.7703 GD 48 48  2.65  0.75   78
 WAT7   62.8331 -148.8476 GD 59 59  2.70  0.87   79
  DHY   63.0753 -147.3759 GD 52 52  2.67  0.86   80
  PAX   62.9699 -145.4699 GD 50 50  2.71  0.82   81
 L26K   63.0254 -143.3478 GD 43 43  2.65  0.90   82
 H20K   65.4924 -154.8808 GD 18 18  2.48  0.77   93
  MLY   65.0304 -150.7442 GD 35 35  2.60  0.83   95
 I23K   65.1479 -149.3603 GD 37 37  2.58  0.82   96
 POKR   65.1171 -147.4335 GD 38 38  2.49  0.83   97
 J25K   64.6130 -145.3697 GD 36 36  2.58  0.87   98
 PS05   66.8133 -150.6646 GD 23 23  2.51  0.77  112
 G24K   66.7004 -147.4754 GD 24 24  2.47  0.84  114
  FYU   66.5657 -145.2342 GD 21 21  2.54  0.84  115
