 T42A   37.0301  -91.0927 GD 36 36  3.49  1.30    2
 T45A   37.0196  -88.6447 GD 41 41  3.47  1.02    3
 T47A   36.9881  -87.1055 GD 28 28  3.65  1.05    4
 Q41A   38.9539  -91.2317 GD 32 32  4.00  1.51    7
 Q44A   38.9032  -89.0170 GD 44 44  3.91  1.27    8
 Q46A   39.0231  -87.3575 GD 38 38  4.05  1.29    9
 N41A   40.7077  -90.8552 GD 35 35  4.61  1.62   12
 N43A   40.9394  -89.1735 GD 44 44  4.39  1.63   13
 N46A   40.8949  -86.7352 GD 26 26  4.08  1.52   14
 K40A   42.6999  -91.1383 GD 34 34  4.84  2.04   17
 J42A   43.3179  -89.1234 GD 38 38  4.93  2.08   18
 SPMN   45.2246  -92.8037 GD 19 19  6.17  2.62   21
 G39A   45.2867  -91.1698 GD 29 29  5.47  2.31   22
 G41A   45.2118  -89.1816 GD 36 36  5.27  2.32   23
 D41A   47.0605  -88.5657 GD 18 18  4.17  1.33   28
