 PTHD   56.9517 -158.6502 GD 30 30  2.95  0.99   23
 Q18K   58.6484 -155.0086 GD 60 60  3.03  1.04   42
 AUSB   59.3330 -153.4284 GD 69 69  2.97  0.97   43
 RDJH   60.5905 -152.8058 GD 67 67  3.01  0.96   60
 CAPN   60.7683 -151.1539 GD 72 72  2.96  0.96   61
  GLI   60.8792 -147.0959 GD 55 55  2.89  0.93   63
  BMR   60.9677 -144.6051 GD 47 47  2.87  0.91   64
  CRQ   60.7523 -143.0926 GD 44 44  2.73  0.82   65
 LOGN   60.8240 -141.0048 GD 36 36  2.73  0.71   66
 BRWY   61.3704 -139.0338 GD 23 23  2.74  0.67   67
 L22K   62.5258 -150.7703 GD 53 53  2.86  0.80   78
 WAT7   62.8331 -148.8476 GD 66 66  2.85  0.82   79
  DHY   63.0753 -147.3759 GD 55 55  2.82  0.80   80
  PAX   62.9699 -145.4699 GD 53 53  2.90  0.82   81
 GCSA   64.7461 -156.8792 GD 15 15  2.85  1.06   92
 H20K   65.4924 -154.8808 GD 21 21  2.71  0.88   93
  MLY   65.0304 -150.7442 GD 38 38  2.84  0.75   95
 I23K   65.1479 -149.3603 GD 38 38  2.96  0.76   96
 POKR   65.1171 -147.4335 GD 41 41  2.99  0.72   97
 J25K   64.6130 -145.3697 GD 38 38  2.95  0.65   98
 I26K   65.3064 -143.1541 GD 25 25  3.02  0.77   99
 PS05   66.8133 -150.6646 GD 27 27  3.09  1.01  112
 G24K   66.7004 -147.4754 GD 29 29  3.11  0.96  114
  FYU   66.5657 -145.2342 GD 26 26  3.07  0.88  115
 D22K   68.8799 -152.6821 GD 17 17  3.28  1.24  128
