 BLDW   55.1909 -162.7877 GD 18 18  1.45  0.75    4
 PTHD   56.9517 -158.6502 GD 39 39  1.97  0.61   23
 Q18K   58.6484 -155.0086 GD 62 62  2.14  0.57   42
 AUSB   59.3330 -153.4284 GD 71 71  2.12  0.57   43
 SPWE   61.2735 -152.5590 GD 72 72  2.08  0.63   60
 CAPN   60.7683 -151.1539 GD 75 75  2.13  0.62   61
  GLI   60.8792 -147.0959 GD 64 64  2.31  0.63   63
  BMR   60.9677 -144.6051 GD 59 59  2.48  0.75   64
  CRQ   60.7523 -143.0926 GD 57 57  2.44  0.72   65
 LOGN   60.8240 -141.0048 GD 45 45  2.49  0.80   66
 BRWY   61.3704 -139.0338 GD 33 33  2.62  0.92   67
 L22K   62.5258 -150.7703 GD 59 59  2.08  0.70   78
 WAT7   62.8331 -148.8476 GD 72 72  2.26  0.68   79
  DHY   63.0753 -147.3759 GD 60 60  2.42  0.66   80
  PAX   62.9699 -145.4699 GD 58 58  2.54  0.72   81
 GCSA   64.7461 -156.8792 GD 16 16  2.10  0.75   92
 H20K   65.4924 -154.8808 GD 21 21  2.10  0.64   93
  MLY   65.0304 -150.7442 GD 36 36  2.09  0.56   95
 I23K   65.1479 -149.3603 GD 34 34  2.13  0.52   96
 POKR   65.1171 -147.4335 GD 37 37  2.27  0.61   97
 J25K   64.6130 -145.3697 GD 34 34  2.37  0.67   98
 I26K   65.3064 -143.1541 GD 25 25  2.48  0.87   99
 E19K   67.4572 -157.2316 GD 14 14  2.48  0.76  109
 F21K   67.2221 -153.4830 GD 18 18  2.28  0.72  111
 PS05   66.8133 -150.6646 GD 24 24  2.22  0.49  112
 G24K   66.7004 -147.4754 GD 26 26  2.24  0.51  114
 D22K   68.8799 -152.6821 GD 17 17  2.46  0.86  128
