 T42A   37.0301  -91.0927 GD 36 36  9.16  3.53    2
 T45A   37.0196  -88.6447 GD 41 41  9.11  4.05    3
 T47A   36.9881  -87.1055 GD 28 28  8.90  4.19    4
 Q41A   38.9539  -91.2317 GD 32 32  9.68  4.11    7
 Q44A   38.9032  -89.0170 GD 44 44 11.44  6.44    8
 Q46A   39.0231  -87.3575 GD 38 38 14.36  9.05    9
 N41A   40.7077  -90.8552 GD 35 35 13.12  7.37   12
 N43A   40.9394  -89.1735 GD 44 44 15.62  9.26   13
 N46A   40.8949  -86.7352 GD 26 26 19.37  9.80   14
 K40A   42.6999  -91.1383 GD 34 34 10.83  7.92   17
 J42A   43.3179  -89.1234 GD 38 38 12.81  9.76   18
 SPMN   45.2246  -92.8037 GD 19 19  7.08  3.63   21
 G39A   45.2867  -91.1698 GD 29 29  8.01  3.92   22
 G41A   45.2118  -89.1816 GD 36 36  8.42  5.00   23
 D41A   47.0605  -88.5657 GD 18 18  8.59  3.56   28
