 T42A   37.0301  -91.0927 GD 36 36  4.86  1.63    2
 T45A   37.0196  -88.6447 GD 40 40  4.59  1.51    3
 U48A   36.5107  -86.5402 GD 22 22  4.76  1.39    4
 Q41A   38.9539  -91.2317 GD 32 32  4.38  1.42    7
 Q44A   38.9032  -89.0170 GD 43 43  4.70  1.37    8
 Q46A   39.0231  -87.3575 GD 37 37  4.83  1.31    9
 N41A   40.7077  -90.8552 GD 35 35  4.42  1.26   12
 N43A   40.9394  -89.1735 GD 44 44  4.54  1.21   13
 N46A   40.8949  -86.7352 GD 26 26  5.01  1.21   14
 K40A   42.6999  -91.1383 GD 34 34  4.93  1.80   17
 J42A   43.3179  -89.1234 GD 38 38  5.18  1.68   18
 SPMN   45.2246  -92.8037 GD 19 19  5.45  2.26   21
 G39A   45.2867  -91.1698 GD 29 29  5.25  2.12   22
 G41A   45.2118  -89.1816 GD 36 36  5.42  2.12   23
 D41A   47.0605  -88.5657 GD 18 18  4.84  1.88   28
