 BLDW   55.1909 -162.7877 GD 14 14  3.24  0.51    4
 BPPC   56.5843 -158.8258 GD 29 29  3.08  0.65   23
 Q18K   58.6484 -155.0086 GD 60 60  2.92  0.81   42
 AUSB   59.3330 -153.4284 GD 69 69  3.25  1.21   43
 M16K   61.0224 -158.9593 GD 18 18  3.64  1.25   57
 SPNN   61.3662 -152.7012 GD 64 64  3.34  1.22   60
 CAPN   60.7683 -151.1539 GD 62 62  3.34  1.24   61
  BMR   60.9677 -144.6051 GD 44 44  4.59  1.40   64
  CRQ   60.7523 -143.0926 GD 42 42  4.58  1.55   65
 LOGN   60.8240 -141.0048 GD 39 39  4.50  1.74   66
 BRWY   61.3704 -139.0338 GD 27 27  4.32  1.81   67
 L22K   62.5258 -150.7703 GD 49 49  3.79  1.27   78
 WAT7   62.8331 -148.8476 GD 61 61  3.95  1.32   79
  DHY   63.0753 -147.3759 GD 51 51  3.87  1.22   80
  PAX   62.9699 -145.4699 GD 50 50  4.19  1.37   81
 L26K   63.0254 -143.3478 GD 44 44  4.41  1.44   82
 GCSA   64.7461 -156.8792 GD 15 15  3.45  0.85   92
 H20K   65.4924 -154.8808 GD 19 19  3.33  0.82   93
  MLY   65.0304 -150.7442 GD 35 35  3.49  0.86   95
 I23K   65.1479 -149.3603 GD 36 36  3.57  0.94   96
 POKR   65.1171 -147.4335 GD 38 38  3.56  0.85   97
 J25K   64.6130 -145.3697 GD 35 35  3.78  1.24   98
 I26K   65.3064 -143.1541 GD 24 24  3.79  1.62   99
 PS05   66.8133 -150.6646 GD 23 23  3.47  0.86  112
 G24K   66.7004 -147.4754 GD 26 26  3.30  1.12  114
  FYU   66.5657 -145.2342 GD 23 23  3.45  1.21  115
 D22K   68.8799 -152.6821 GD 16 16  3.36  0.68  128
