 T42A   37.0301  -91.0927 GD 36 36  1.75  0.41    2
 T45A   37.0196  -88.6447 GD 41 41  1.85  0.52    3
 T47A   36.9881  -87.1055 GD 28 28  1.91  0.56    4
 Q41A   38.9539  -91.2317 GD 32 32  1.91  0.48    7
 Q44A   38.9032  -89.0170 GD 44 44  2.21  1.03    8
 Q46A   39.0231  -87.3575 GD 38 38  2.44  1.07    9
 N41A   40.7077  -90.8552 GD 35 35  2.30  0.98   12
 N43A   40.9394  -89.1735 GD 44 44  2.52  0.99   13
 N46A   40.8949  -86.7352 GD 26 26  2.81  1.19   14
 K40A   42.6999  -91.1383 GD 34 34  2.23  0.62   17
 J42A   43.3179  -89.1234 GD 38 38  2.48  0.76   18
 SPMN   45.2246  -92.8037 GD 19 19  2.53  0.75   21
 G39A   45.2867  -91.1698 GD 29 29  2.76  0.86   22
 G41A   45.2118  -89.1816 GD 36 36  2.82  0.80   23
 D41A   47.0605  -88.5657 GD 18 18  3.31  0.76   28
