 T42A   37.0301  -91.0927 GD 36 36  6.99  1.55    2
 T45A   37.0196  -88.6447 GD 40 40  7.32  1.67    3
 T47A   36.9881  -87.1055 GD 27 27  7.39  2.15    4
 Q41A   38.9539  -91.2317 GD 32 32  7.59  2.13    7
 Q44A   38.9032  -89.0170 GD 44 44  7.44  2.02    8
 Q46A   39.0231  -87.3575 GD 37 37  7.44  1.91    9
 N41A   40.7077  -90.8552 GD 35 35  7.13  2.07   12
 N43A   40.9394  -89.1735 GD 44 44  7.14  2.02   13
 N46A   40.8949  -86.7352 GD 26 26  7.54  1.88   14
 K40A   42.6999  -91.1383 GD 34 34  5.89  2.47   17
 J42A   43.3179  -89.1234 GD 38 38  6.16  2.84   18
 SPMN   45.2246  -92.8037 GD 19 19  6.19  3.08   21
 G39A   45.2867  -91.1698 GD 29 29  5.95  2.88   22
 G41A   45.2118  -89.1816 GD 36 36  6.41  3.00   23
 D41A   47.0605  -88.5657 GD 18 18  8.90  2.97   28
