 BPPC   56.5843 -158.8258 GD 29 29  2.35  0.75   23
 Q18K   58.6484 -155.0086 GD 57 57  2.37  0.79   42
 AUSB   59.3330 -153.4284 GD 65 65  2.36  0.84   43
 M16K   61.0224 -158.9593 GD 16 16  2.34  0.71   57
 SPWE   61.2735 -152.5590 GD 62 62  2.58  0.87   60
 CAPN   60.7683 -151.1539 GD 66 66  2.51  0.79   61
  GLI   60.8792 -147.0959 GD 53 53  2.62  0.82   63
  BMR   60.9677 -144.6051 GD 48 48  2.73  0.77   64
  CRQ   60.7523 -143.0926 GD 45 45  2.81  0.72   65
 LOGN   60.8240 -141.0048 GD 36 36  2.90  0.74   66
 BRWY   61.3704 -139.0338 GD 27 27  2.98  0.77   67
 L22K   62.5258 -150.7703 GD 50 50  2.75  0.90   78
 WAT7   62.8331 -148.8476 GD 64 64  2.82  0.93   79
  DHY   63.0753 -147.3759 GD 55 55  2.89  0.87   80
  PAX   62.9699 -145.4699 GD 51 51  2.84  0.78   81
 GCSA   64.7461 -156.8792 GD 14 14  2.45  0.41   92
 H20K   65.4924 -154.8808 GD 18 18  2.86  0.71   93
  MLY   65.0304 -150.7442 GD 37 37  3.13  0.95   95
 I23K   65.1479 -149.3603 GD 37 37  3.12  0.95   96
 POKR   65.1171 -147.4335 GD 38 38  3.09  0.96   97
 PS05   66.8133 -150.6646 GD 23 23  3.12  0.86  112
 G24K   66.7004 -147.4754 GD 23 23  3.18  0.83  114
  FYU   66.5657 -145.2342 GD 21 21  3.19  0.93  115
