 T42A   37.0301  -91.0927 GD 36 36  3.30  0.87    2
 T45A   37.0196  -88.6447 GD 41 41  2.98  0.76    3
 T47A   36.9881  -87.1055 GD 28 28  2.85  0.71    4
 Q41A   38.9539  -91.2317 GD 32 32  2.93  0.83    7
 Q44A   38.9032  -89.0170 GD 44 44  2.91  0.78    8
 Q46A   39.0231  -87.3575 GD 38 38  2.92  0.75    9
 N41A   40.7077  -90.8552 GD 35 35  3.00  0.91   12
 N43A   40.9394  -89.1735 GD 44 44  3.08  0.92   13
 N46A   40.8949  -86.7352 GD 26 26  3.18  0.86   14
 K40A   42.6999  -91.1383 GD 34 34  2.92  1.00   17
 J42A   43.3179  -89.1234 GD 38 38  3.12  0.94   18
 SPMN   45.2246  -92.8037 GD 19 19  2.79  0.96   21
 G39A   45.2867  -91.1698 GD 29 29  2.84  0.88   22
 G41A   45.2118  -89.1816 GD 36 36  2.89  0.89   23
 D41A   47.0605  -88.5657 GD 18 18  2.85  0.59   28
