 BLDW   55.1909 -162.7877 GD 14 14  2.29  0.57    4
 BPPC   56.5843 -158.8258 GD 28 28  2.48  0.84   23
 AUSB   59.3330 -153.4284 GD 57 57  4.13  2.26   43
 M16K   61.0224 -158.9593 GD 16 16  3.76  1.09   57
 SPNN   61.3662 -152.7012 GD 57 57  5.06  2.20   60
 CAPN   60.7683 -151.1539 GD 59 59  5.28  2.57   61
  GLI   60.8792 -147.0959 GD 59 59  5.36  2.42   63
  BMR   60.9677 -144.6051 GD 54 54  5.63  2.44   64
  CRQ   60.7523 -143.0926 GD 50 50  5.28  2.30   65
 LOGN   60.8240 -141.0048 GD 42 42  5.12  2.29   66
 BRWY   61.3704 -139.0338 GD 27 27  4.84  1.93   67
 L22K   62.5258 -150.7703 GD 47 47  6.34  2.44   78
 WAT7   62.8331 -148.8476 GD 59 59  6.63  2.58   79
  DHY   63.0753 -147.3759 GD 55 55  6.61  2.41   80
  PAX   62.9699 -145.4699 GD 55 55  6.59  2.45   81
 L26K   63.0254 -143.3478 GD 44 44  6.84  2.44   82
 GCSA   64.7461 -156.8792 GD 15 15  5.54  2.03   92
 H20K   65.4924 -154.8808 GD 20 20  6.18  3.13   93
  MLY   65.0304 -150.7442 GD 36 36  6.56  3.49   95
 I23K   65.1479 -149.3603 GD 37 37  6.79  3.45   96
 POKR   65.1171 -147.4335 GD 38 38  7.03  3.32   97
 J25K   64.6130 -145.3697 GD 35 35  6.98  2.55   98
 PS05   66.8133 -150.6646 GD 22 22 10.32  8.40  112
 G24K   66.7004 -147.4754 GD 24 24  9.53  7.90  114
  FYU   66.5657 -145.2342 GD 20 20  9.77  7.72  115
