 78 :   62.2112 -150.7210  822.77 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   83.76 baz:  108.30 residPP(T/U/B)    3.17 -0.36  0.00 predPP(T/U) 934.53 8.16 measPPBeam(T/U/AMP) 937.70 7.80 -0.177 measPPxf(T/U/F/rB/aB) 939.34 7.80  51.89 0.00 108.00 fmin 0.05 fmax 0.50 SNRbeam 11.98 SNRmean  3.27 SNRstdev  1.06 SNRminmax  1.50  6.22 amp: -0.9 -1 SAME : NOCONT   NONE stanum 45	sta PAX PS10 SCM PWL KNK SAW WAT6 DHY GHO PMR RC01 SLK WAT1 WAT7 FIRE RND WRH MCK CAPN CUT NEA2 L22K TRF SPBL STLK SKN SPU SPCG SPCN N20K RDSO RED SPBG KTH NCT SPNN BPAW CAST CHUM N19K L20K M19K K20K J20K TTA notused BPAW
 79 :   62.7056 -148.6700  763.12 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   83.02 baz:  110.20 residPP(T/U/B)    3.34 -0.38 -2.00 predPP(T/U) 928.56 8.18 measPPBeam(T/U/AMP) 931.90 7.80 -0.193 measPPxf(T/U/F/rB/aB) 938.09 7.80  76.97 -2.00 108.00 fmin 0.05 fmax 0.50 SNRbeam 14.65 SNRmean  3.77 SNRstdev  1.60 SNRminmax  1.50  9.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 60	sta N25K WACK MENT PS12 DIV KLU HARP PS11 VMT SCRK PAX RIDG PS10 SCM K24K PWL GREN GRES J25K KNK SAW WAT6 DHY GHO PMR PS08 HDA RC01 SLK WAT1 WAT7 FIRE RND CCB POKR WRH MCK CAPN CUT MDM NEA2 L22K TRF SPBL STLK SKN SPU SPCG SPCN N20K I23K SPBG KTH SPNN BPAW MLY CAST CHUM L20K K20K notused BPAW
 80 :   62.9762 -147.4790  757.24 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   82.61 baz:  111.40 residPP(T/U/B)    3.67 -0.20 -2.00 predPP(T/U) 925.18 8.20 measPPBeam(T/U/AMP) 928.85 8.00 -0.209 measPPxf(T/U/F/rB/aB) 931.97 8.00 103.72 -2.00 109.00 fmin 0.05 fmax 0.50 SNRbeam 19.85 SNRmean  3.81 SNRstdev  1.65 SNRminmax  1.50  9.71 amp: -0.9 -1 SAME : NOCONT   NONE stanum 52	sta GLB BMR N25K WACK L26K MENT PS12 DIV KLU HARP PS11 VMT SCRK J26L PAX RIDG PS10 SCM K24K PWL GREN GRES J25K KNK SAW WAT6 DHY GHO PMR PS08 HDA RC01 WAT1 WAT7 FIRE RND CCB POKR WRH MCK CUT MDM NEA2 L22K TRF SKN I23K KTH BPAW MLY CAST CHUM notused BMR
 81 :   62.7093 -146.1110  872.30 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   81.93 baz:  112.60 residPP(T/U/B)    3.84 -0.02 -4.00 predPP(T/U) 919.61 8.22 measPPBeam(T/U/AMP) 923.45 8.20 -0.219 measPPxf(T/U/F/rB/aB) 926.69 8.20 102.14 -4.00 109.00 fmin 0.05 fmax 0.50 SNRbeam 13.93 SNRmean  3.86 SNRstdev  1.74 SNRminmax  1.50  9.70 amp: -0.9 -1 SAME : NOCONT   NONE stanum 50	sta BVCY BAL PTPK CRQ M27K MCAR VRDI GLB BMR N25K WACK L26K EYAK MENT PS12 DIV KLU HARP PS11 VMT SCRK J26L PAX RIDG PS10 SCM K24K GREN GRES J25K KNK SAW WAT6 DHY GHO PMR PS08 HDA WAT1 WAT7 RND CCB POKR WRH MCK CUT MDM NEA2 L22K TRF notused BAL
 82 :   62.3527 -144.1150 1101.28 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   80.95 baz:  114.30 residPP(T/U/B)    4.06 -0.05 -4.00 predPP(T/U) 911.49 8.25 measPPBeam(T/U/AMP) 915.55 8.20 -0.265 measPPxf(T/U/F/rB/aB) 918.50 8.20  91.53 -4.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 13.32 SNRmean  3.82 SNRstdev  1.71 SNRminmax  1.56  9.69 amp: -0.9 -1 SAME : NOCONT   NONE stanum 43	sta YUK8 LOGN YUK3 GRNC BARN ISLE KIAG BVCY BAL TGL PTPK DAWY CRQ M27K MCAR VRDI GLB BMR N25K WACK L26K MENT PS12 DIV KLU HARP PS11 VMT SCRK J26L PAX I26K RIDG PS10 SCM K24K GREN GRES J25K WAT6 DHY PS08 HDA WAT1 notused BAL
 92 :   64.6701 -155.4220  372.86 :   64.7461 -156.8792  GCSA grid:   65.0000 -157.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   86.46 baz:  104.30 residPP(T/U/B)    6.87 0.14 -2.00 predPP(T/U) 956.48 8.06 measPPBeam(T/U/AMP) 963.35 8.20 -0.191 measPPxf(T/U/F/rB/aB) 965.07 8.20  34.11 -2.00 102.00 fmin 0.05 fmax 0.50 SNRbeam 17.01 SNRmean  3.76 SNRstdev  1.76 SNRminmax  1.14  7.34 amp: -0.9 -1 SAME : NOCONT   NONE stanum 14	sta CAST CHUM I21K K20K H21K J20K TTA J19K H20K GCSA F20K J17K F18K G17K notused CAST
 93 :   65.3031 -153.5470  392.10 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   85.86 baz:  106.00 residPP(T/U/B)    6.56 0.12 -2.00 predPP(T/U) 951.64 8.08 measPPBeam(T/U/AMP) 958.20 8.20 -0.201 measPPxf(T/U/F/rB/aB) 957.88 8.20  38.22 -2.00 104.00 fmin 0.05 fmax 0.50 SNRbeam  9.90 SNRmean  3.71 SNRstdev  1.64 SNRminmax  1.14  7.32 amp: -0.9 -1 SAME : NOCONT   NONE stanum 20	sta I23K BPAW PS06 MLY CAST G23K CHUM H22K PS05 I21K K20K H21K J20K J19K H20K GCSA F20K E19K F18K G17K notused BPAW
 95 :   64.6229 -149.6420  611.24 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   84.08 baz:  109.60 residPP(T/U/B)    6.61 0.05 -2.00 predPP(T/U) 937.19 8.14 measPPBeam(T/U/AMP) 943.80 8.20 -0.213 measPPxf(T/U/F/rB/aB) 945.74 8.20  67.62 -2.00 108.00 fmin 0.05 fmax 0.50 SNRbeam 20.14 SNRmean  4.18 SNRstdev  1.49 SNRminmax  2.26  8.07 amp: -0.9 -1 SAME : NOCONT   NONE stanum 36	sta K24K GREN GRES J25K DHY PS08 HDA WAT1 WAT7 RND CCB POKR WRH MCK MDM H24K NEA2 TRF G24K I23K KTH BPAW PS06 MLY CAST G23K CHUM COLD H22K PS05 I21K K20K H21K J20K J19K H20K notused BPAW
 96 :   64.6704 -149.0070  616.58 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   83.84 baz:  110.10 residPP(T/U/B)    3.11 -0.15 -2.00 predPP(T/U) 935.24 8.15 measPPBeam(T/U/AMP) 938.35 8.00 -0.220 measPPxf(T/U/F/rB/aB) 941.53 8.00  80.30 -2.00 108.00 fmin 0.05 fmax 0.50 SNRbeam 14.48 SNRmean  4.16 SNRstdev  1.46 SNRminmax  2.06  8.06 amp: -0.9 -1 SAME : NOCONT   NONE stanum 37	sta RIDG PS10 K24K GREN GRES J25K DHY PS08 HDA WAT1 FYU WAT7 RND CCB POKR WRH MCK MDM H24K NEA2 TRF G24K I23K KTH BPAW PS06 MLY CAST G23K CHUM COLD H22K PS05 I21K H21K J20K H20K notused BPAW
 97 :   64.6685 -147.9480  673.22 :   65.1171 -147.4335  POKR grid:   65.0000 -147.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   83.42 baz:  111.10 residPP(T/U/B)    3.18 -0.17 -2.00 predPP(T/U) 931.77 8.17 measPPBeam(T/U/AMP) 934.95 8.00 -0.216 measPPxf(T/U/F/rB/aB) 938.11 8.00  73.17 -2.00 109.00 fmin 0.05 fmax 0.50 SNRbeam 13.84 SNRmean  4.12 SNRstdev  1.49 SNRminmax  1.55  8.06 amp: -0.9 -1 SAME : NOCONT   NONE stanum 39	sta I27K SCRK J26L PAX I26K RIDG PS10 K24K GREN GRES J25K DHY PS08 HDA WAT1 FYU WAT7 RND CCB POKR WRH MCK MDM H24K NEA2 TRF G24K I23K KTH BPAW PS06 MLY G23K CHUM COLD H22K PS05 I21K H21K notused BPAW
 98 :   64.2314 -146.8460  734.30 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   82.82 baz:  112.10 residPP(T/U/B)    3.21 -0.19 -2.00 predPP(T/U) 926.84 8.19 measPPBeam(T/U/AMP) 930.05 8.00 -0.228 measPPxf(T/U/F/rB/aB) 933.27 8.00  71.55 -2.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 14.03 SNRmean  4.07 SNRstdev  1.52 SNRminmax  1.55  8.06 amp: -0.9 -1 SAME : NOCONT   NONE stanum 35	sta L26K MENT I27K HARP SCRK J26L PAX I26K RIDG PS10 K24K GREN GRES J25K WAT6 DHY PS08 HDA WAT1 FYU WAT7 RND CCB POKR WRH MCK MDM H24K NEA2 TRF G24K I23K BPAW PS06 MLY notused BPAW
 99 :   64.5529 -145.3590  629.96 :   65.3064 -143.1541  I26K grid:   65.0000 -143.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   82.35 baz:  113.50 residPP(T/U/B)    3.09 -0.21 -2.00 predPP(T/U) 923.01 8.21 measPPBeam(T/U/AMP) 926.10 8.00 -0.229 measPPxf(T/U/F/rB/aB) 929.09 8.00  39.61 -2.00 111.00 fmin 0.05 fmax 0.50 SNRbeam 10.63 SNRmean  4.33 SNRstdev  1.72 SNRminmax  1.55  8.06 amp: -0.9 -1 SAME : NOCONT   NONE stanum 22	sta DAWY L26K MENT I27K SCRK J26L I26K RIDG PS10 K24K GREN GRES J25K PS08 HDA FYU CCB POKR WRH MDM H24K G24K notused CCB
112 :   66.3750 -150.1110  508.78 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   84.85 baz:  109.30 residPP(T/U/B)    6.03 0.08 -2.00 predPP(T/U) 943.42 8.12 measPPBeam(T/U/AMP) 949.45 8.20 -0.234 measPPxf(T/U/F/rB/aB) 949.09 8.20  49.84 -2.00 107.00 fmin 0.05 fmax 0.50 SNRbeam 11.28 SNRmean  4.57 SNRstdev  2.01 SNRminmax  1.44 10.68 amp: -0.9 -1 SAME : NOCONT   NONE stanum 23	sta FYU CCB POKR MDM H24K NEA2 G24K I23K PS06 MLY E24K G23K COLD H22K PS05 I21K PS04 TOLK H21K E22K H20K D22K F20K notused CCB
114 :   65.9419 -148.7860  515.32 :   66.7004 -147.4754  G24K grid:   67.0000 -147.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   84.20 baz:  110.50 residPP(T/U/B)    6.12 -0.14  0.00 predPP(T/U) 938.13 8.14 measPPBeam(T/U/AMP) 944.25 8.00 -0.252 measPPxf(T/U/F/rB/aB) 943.82 8.00  52.55 0.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 14.83 SNRmean  4.89 SNRstdev  2.02 SNRminmax  2.42 10.67 amp: -0.9 -1 SAME : NOCONT   NONE stanum 25	sta I26K J25K PS08 HDA FYU CCB POKR WRH MDM H24K NEA2 G24K I23K PS06 MLY E24K G23K COLD H22K PS05 I21K PS04 TOLK H21K E22K notused CCB
115 :   65.9692 -146.7690  545.27 :   66.5657 -145.2342   FYU grid:   67.0000 -145.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   83.44 baz:  112.40 residPP(T/U/B)    6.13 0.03  0.00 predPP(T/U) 931.97 8.17 measPPBeam(T/U/AMP) 938.10 8.20 -0.254 measPPxf(T/U/F/rB/aB) 937.74 8.20  48.24 0.00 112.00 fmin 0.05 fmax 0.50 SNRbeam 14.03 SNRmean  4.86 SNRstdev  2.28 SNRminmax  1.55 10.62 amp: -0.9 -1 SAME : NOCONT   NONE stanum 22	sta I27K J26L CROWY I26K J25K E27K PS08 HDA FYU CCB POKR WRH MDM H24K G24K I23K PS06 E24K G23K COLD PS05 PS04 notused CCB
128 :   68.5239 -152.4070  440.29 :   68.8799 -152.6821  D22K grid:   69.0000 -153.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   86.36 baz:  107.30 residPP(T/U/B)    5.61 -0.06 -2.00 predPP(T/U) 955.64 8.06 measPPBeam(T/U/AMP) 961.25 8.00 -0.201 measPPxf(T/U/F/rB/aB) 960.81 8.00  22.64 -2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam 11.96 SNRmean  4.19 SNRstdev  2.27 SNRminmax  1.45 10.70 amp: -0.9 -1 SAME : NOCONT   NONE stanum 16	sta E24K G23K COLD PS05 PS04 TOLK PS01 E22K C23K D22K F20K C21K E19K D20K A22K B20K notused A22K
