 T42A   37.0301  -91.0927 GD 36 36  5.49  1.84    2
 T45A   37.0196  -88.6447 GD 41 41  5.55  2.14    3
 T47A   36.9881  -87.1055 GD 28 28  5.52  2.89    4
 Q41A   38.9539  -91.2317 GD 32 32  5.37  1.91    7
 Q44A   38.9032  -89.0170 GD 44 44  5.28  1.54    8
 Q46A   39.0231  -87.3575 GD 38 38  5.83  2.73    9
 N41A   40.7077  -90.8552 GD 35 35  5.63  1.72   12
 N43A   40.9394  -89.1735 GD 44 44  5.64  1.59   13
 N46A   40.8949  -86.7352 GD 26 26  5.71  1.30   14
 K40A   42.6999  -91.1383 GD 34 34  5.68  1.47   17
 J42A   43.3179  -89.1234 GD 38 38  5.62  1.48   18
 SPMN   45.2246  -92.8037 GD 19 19  5.52  1.61   21
 G39A   45.2867  -91.1698 GD 29 29  5.35  1.42   22
 G41A   45.2118  -89.1816 GD 36 36  5.19  1.32   23
 D41A   47.0605  -88.5657 GD 18 18  4.68  1.28   28
