 M16K   61.0224 -158.9593 GD 17 17  3.99  1.60   57
 CAPN   60.7683 -151.1539 GD 37 37  3.70  1.22   61
  GLI   60.8792 -147.0959 GD 58 58  2.88  0.96   63
  BMR   60.9677 -144.6051 GD 57 57  2.78  0.85   64
  CRQ   60.7523 -143.0926 GD 50 50  2.75  0.86   65
 LOGN   60.8240 -141.0048 GD 39 39  2.77  0.82   66
 L22K   62.5258 -150.7703 GD 37 37  3.52  1.46   78
 WAT7   62.8331 -148.8476 GD 53 53  3.04  1.12   79
  DHY   63.0753 -147.3759 GD 53 53  2.97  1.06   80
  PAX   62.9699 -145.4699 GD 51 51  2.78  0.90   81
 L26K   63.0254 -143.3478 GD 38 38  2.69  0.95   82
 GCSA   64.7461 -156.8792 GD 15 15  4.04  1.51   92
 H20K   65.4924 -154.8808 GD 22 22  3.90  1.34   93
  MLY   65.0304 -150.7442 GD 35 35  3.39  1.35   95
 I23K   65.1479 -149.3603 GD 34 34  3.23  1.34   96
 POKR   65.1171 -147.4335 GD 36 36  3.01  1.18   97
 J25K   64.6130 -145.3697 GD 33 33  2.65  0.87   98
 F21K   67.2221 -153.4830 GD 19 19  3.43  1.20  111
 PS05   66.8133 -150.6646 GD 23 23  3.07  1.27  112
 G24K   66.7004 -147.4754 GD 25 25  2.96  1.18  114
 C21K   69.1565 -154.7833 GD 14 14  3.15  0.82  127
 D22K   68.8799 -152.6821 GD 17 17  3.29  0.95  128
