 T42A   37.0301  -91.0927 GD 36 36  2.43  1.04    2
 T45A   37.0196  -88.6447 GD 41 41  2.51  1.02    3
 T47A   36.9881  -87.1055 GD 28 28  2.57  1.03    4
 Q41A   38.9539  -91.2317 GD 32 32  3.29  1.15    7
 Q44A   38.9032  -89.0170 GD 44 44  3.09  1.00    8
 Q46A   39.0231  -87.3575 GD 38 38  3.29  1.07    9
 N41A   40.7077  -90.8552 GD 35 35  3.51  1.04   12
 N43A   40.9394  -89.1735 GD 44 44  3.67  0.95   13
 N46A   40.8949  -86.7352 GD 26 26  3.60  0.91   14
 K40A   42.6999  -91.1383 GD 34 34  3.88  1.17   17
 J42A   43.3179  -89.1234 GD 38 38  4.15  1.29   18
 SPMN   45.2246  -92.8037 GD 19 19  4.39  1.44   21
 G39A   45.2867  -91.1698 GD 29 29  4.54  1.34   22
 G41A   45.2118  -89.1816 GD 36 36  4.41  1.16   23
 D41A   47.0605  -88.5657 GD 18 18  4.67  1.21   28
