 93 :   65.3933 -153.6470  410.96 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   83.79 baz:  239.80 residPP(T/U/B)    6.53 0.06  0.00 predPP(T/U) 929.57 8.14 measPPBeam(T/U/AMP) 936.10 8.20 -0.272 measPPxf(T/U/F/rB/aB) 936.70 8.20  28.39 0.00 -120.00 fmin 0.05 fmax 0.50 SNRbeam 11.77 SNRmean  3.72 SNRstdev  1.30 SNRminmax  2.22  7.03 amp: -0.9 -1 SAME : NOCONT   NONE stanum 23	sta H17K G17K GCSA J19K F18K K20K J20K H20K CAST CHUM E19K F20K BPAW H21K I21K MLY F21K H22K I23K PS06 H23K PS05 G23K notused BPAW
 95 :   64.7176 -149.7920  596.94 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   84.90 baz:  243.50 residPP(T/U/B)    2.41 0.10 -4.00 predPP(T/U) 938.59 8.10 measPPBeam(T/U/AMP) 941.00 8.20 -0.182 measPPxf(T/U/F/rB/aB) 945.28 8.20  25.08 -4.00 -121.00 fmin 0.05 fmax 0.50 SNRbeam  9.42 SNRmean  4.04 SNRstdev  1.60 SNRminmax  2.90  2.90 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta J19K K20K J20K PPLA H20K CAST CHUM KTH BPAW H21K I21K WAT7 WAT1 MLY RND F21K MCK H22K NEA2 DHY I23K PS06 WRH H23K PS05 CCB G23K PS07 HDA COLD POKR PS08 K24K H24K GRES GREN J25K G24K notused BPAW
 96 :   64.6934 -149.0930  589.99 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.15 baz:  244.10 residPP(T/U/B)    6.33 -0.09 -4.00 predPP(T/U) 940.67 8.09 measPPBeam(T/U/AMP) 947.00 8.00 -0.183 measPPxf(T/U/F/rB/aB) 947.31 8.00  25.24 -4.00 -120.00 fmin 0.05 fmax 0.50 SNRbeam 12.90 SNRmean  4.17 SNRstdev  1.63 SNRminmax  2.90  2.90 amp: -0.9 -1 SAME : NOCONT   NONE stanum 36	sta J20K H20K CAST CHUM KTH BPAW H21K I21K WAT7 WAT1 MLY RND MCK H22K NEA2 DHY I23K PS06 WRH H23K PS05 CCB G23K PS07 HDA COLD PS10 POKR PS08 K24K H24K GRES GREN RIDG J25K G24K notused BPAW
 97 :   64.6903 -148.0010  649.52 :   65.1171 -147.4335  POKR grid:   65.0000 -147.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.57 baz:  245.10 residPP(T/U/B)    6.58 0.12 -2.00 predPP(T/U) 944.07 8.08 measPPBeam(T/U/AMP) 950.65 8.20 -0.172 measPPxf(T/U/F/rB/aB) 950.89 8.20  25.07 -2.00 -117.00 fmin 0.05 fmax 0.50 SNRbeam 13.70 SNRmean  4.13 SNRstdev  1.68 SNRminmax  2.90  2.90 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta CHUM KTH BPAW H21K I21K WAT7 WAT1 MLY RND MCK H22K NEA2 DHY I23K PS06 WRH H23K PS05 CCB G23K PS07 HDA COLD PAX PS10 POKR PS08 K24K H24K GRES GREN RIDG J25K G24K SCRK J26L I26K I27K notused BPAW
 98 :   64.2214 -146.7150  715.56 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.89 baz:  246.30 residPP(T/U/B)    2.66 0.33  0.00 predPP(T/U) 946.59 8.07 measPPBeam(T/U/AMP) 949.25 8.40 -0.188 measPPxf(T/U/F/rB/aB) 953.17 8.40  21.34 0.00 -114.00 fmin 0.05 fmax 0.50 SNRbeam  8.12 SNRmean  4.39 SNRstdev  1.78 SNRminmax  2.90  2.90 amp: -0.9 -1 SAME : NOCONT   NONE stanum 35	sta BPAW WAT7 WAT1 MLY RND MCK WAT6 NEA2 DHY I23K PS06 WRH H23K CCB PS07 HARP HDA PAX PS10 POKR PS08 K24K H24K GRES GREN RIDG J25K G24K M26K L26K SCRK J26L K27K I26K I27K notused BPAW
 99 :   64.6563 -145.3960  634.52 :   65.3064 -143.1541  I26K grid:   65.0000 -143.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   86.58 baz:  247.50 residPP(T/U/B)    3.32 0.56  0.00 predPP(T/U) 952.18 8.04 measPPBeam(T/U/AMP) 955.50 8.60 -0.238 measPPxf(T/U/F/rB/aB) 958.56 8.60  19.48 0.00 -112.00 fmin 0.05 fmax 0.50 SNRbeam  8.93 SNRmean  4.56 SNRstdev  1.52 SNRminmax  2.27  7.32 amp: -0.9 -1 SAME : NOCONT   NONE stanum 21	sta WRH CCB PS07 HDA PS10 POKR PS08 K24K H24K GRES GREN RIDG J25K G24K L26K SCRK J26L K27K I26K I27K G27K notused CCB
111 :   67.0717 -152.0850  546.25 :   67.2221 -153.4830  F21K grid:   67.0000 -153.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.16 baz:  241.20 residPP(T/U/B)    7.22 0.31 -2.00 predPP(T/U) 940.73 8.09 measPPBeam(T/U/AMP) 947.95 8.40 -0.335 measPPxf(T/U/F/rB/aB) 948.59 8.40  36.59 -2.00 -121.00 fmin 0.05 fmax 0.50 SNRbeam  9.64 SNRmean  3.66 SNRstdev  1.10 SNRminmax  2.31  6.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 20	sta H20K E19K F20K H21K I21K D20K MLY F21K H22K C21K PS06 H23K PS05 G23K E22K D22K COLD PS04 TOLK E24K notused C21K
112 :   66.3941 -150.4330  518.21 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.42 baz:  242.70 residPP(T/U/B)    7.14 0.32 -2.00 predPP(T/U) 942.81 8.08 measPPBeam(T/U/AMP) 949.95 8.40 -0.271 measPPxf(T/U/F/rB/aB) 950.62 8.40  35.12 -2.00 -119.00 fmin 0.05 fmax 0.50 SNRbeam 10.06 SNRmean  3.70 SNRstdev  1.07 SNRminmax  2.29  5.68 amp: -0.9 -1 SAME : NOCONT   NONE stanum 24	sta H20K F20K H21K I21K MLY F21K H22K NEA2 I23K PS06 H23K PS05 CCB G23K PS07 E22K D22K COLD POKR H24K G24K PS04 TOLK E24K notused CCB
114 :   65.9602 -148.6790  527.19 :   66.7004 -147.4754  G24K grid:   67.0000 -147.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.86 baz:  244.40 residPP(T/U/B)    6.93 0.13 -4.00 predPP(T/U) 946.37 8.07 measPPBeam(T/U/AMP) 953.30 8.20 -0.228 measPPxf(T/U/F/rB/aB) 953.54 8.20  35.87 -4.00 -120.00 fmin 0.05 fmax 0.50 SNRbeam 13.75 SNRmean  3.81 SNRstdev  1.21 SNRminmax  2.12  5.80 amp: -0.9 -1 SAME : NOCONT   NONE stanum 26	sta H21K I21K MLY H22K NEA2 I23K PS06 WRH H23K PS05 CCB G23K PS07 E22K HDA COLD POKR PS08 H24K J25K G24K PS04 TOLK E24K I26K G27K notused CCB
127 :   68.8547 -154.0720  437.66 :   69.1565 -154.7833  C21K grid:   69.0000 -155.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.40 baz:  239.20 residPP(T/U/B)    4.88 -0.49  0.00 predPP(T/U) 942.67 8.09 measPPBeam(T/U/AMP) 947.55 7.60 -0.302 measPPxf(T/U/F/rB/aB) 949.53 7.60  15.78 0.00 -121.00 fmin 0.05 fmax 0.50 SNRbeam  6.10 SNRmean  4.08 SNRstdev  1.15 SNRminmax  2.61  6.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 14	sta E19K C19K F20K D20K F21K B20K C21K E22K D22K A22K B22K PS04 TOLK C23K notused A22K
128 :   68.5525 -152.5230  427.29 :   68.8799 -152.6821  D22K grid:   69.0000 -153.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.74 baz:  240.60 residPP(T/U/B)    7.32 0.13  0.00 predPP(T/U) 945.38 8.07 measPPBeam(T/U/AMP) 952.70 8.20 -0.312 measPPxf(T/U/F/rB/aB) 953.19 8.20  21.11 0.00 -119.00 fmin 0.05 fmax 0.50 SNRbeam  8.49 SNRmean  4.24 SNRstdev  1.09 SNRminmax  2.61  6.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 18	sta E19K F20K D20K F21K B20K C21K PS05 G23K E22K D22K COLD A22K B22K PS04 TOLK E24K C23K PS01 notused A22K
