 BPPC   56.5843 -158.8258 GD 30 30  5.42  2.22   23
 OHAK   57.2225 -153.2875 GD 34 34  6.99  1.92   26
 Q18K   58.6484 -155.0086 GD 64 64  7.45  2.25   42
 AUSB   59.3330 -153.4284 GD 66 66  7.38  2.29   43
 M16K   61.0224 -158.9593 GD 16 16  8.93  2.74   57
 RDJH   60.5905 -152.8058 GD 62 62  7.35  2.21   60
 CAPN   60.7683 -151.1539 GD 66 66  6.98  2.42   61
  GLI   60.8792 -147.0959 GD 62 62  5.14  2.11   63
 GOAT   60.5805 -144.7292 GD 54 54  4.74  1.96   64
  CRQ   60.7523 -143.0926 GD 55 55  4.21  1.76   65
 LOGN   60.8240 -141.0048 GD 46 46  3.91  1.70   66
 BRWY   61.3704 -139.0338 GD 33 33  3.72  1.62   67
 L22K   62.5258 -150.7703 GD 50 50  5.56  2.96   78
 WAT7   62.8331 -148.8476 GD 61 61  4.15  2.47   79
  DHY   63.0753 -147.3759 GD 56 56  3.64  2.23   80
  PAX   62.9699 -145.4699 GD 55 55  3.55  2.13   81
 L26K   63.0254 -143.3478 GD 44 44  2.88  1.40   82
 GCSA   64.7461 -156.8792 GD 14 14  3.53  2.99   92
 H20K   65.4924 -154.8808 GD 22 22  2.28  1.36   93
  MLY   65.0304 -150.7442 GD 38 38  2.23  1.11   95
 I23K   65.1479 -149.3603 GD 38 38  1.98  0.56   96
 POKR   65.1171 -147.4335 GD 40 40  1.96  0.57   97
 J25K   64.6130 -145.3697 GD 37 37  1.96  0.60   98
 I26K   65.3064 -143.1541 GD 24 24  1.90  0.71   99
 E19K   67.4572 -157.2316 GD 14 14  1.48  0.44  109
 F21K   67.2221 -153.4830 GD 21 21  1.77  0.47  111
 PS05   66.8133 -150.6646 GD 27 27  1.79  0.46  112
 G24K   66.7004 -147.4754 GD 27 27  1.81  0.48  114
  FYU   66.5657 -145.2342 GD 23 23  1.75  0.47  115
 D20K   68.7132 -156.6132 GD 14 14  1.56  0.42  126
 C21K   69.1565 -154.7833 GD 16 16  1.55  0.43  127
 D22K   68.8799 -152.6821 GD 20 20  1.68  0.43  128
 D24K   69.1532 -148.8233 GD 16 16  1.58  0.40  130
