 AUJA   59.3395 -153.4227 GD 17 17  6.95  2.49   43
 M16K   61.0224 -158.9593 GD 18 18 10.70  4.39   57
 CAPN   60.7683 -151.1539 GD 33 33  9.20  3.67   61
  BMR   60.9677 -144.6051 GD 49 49 12.49  5.90   64
  TGL   60.7541 -142.8292 GD 42 42 12.82  6.30   65
 LOGN   60.8240 -141.0048 GD 38 38 13.26  6.42   66
 J17K   63.3965 -159.0777 GD 14 14 17.74  7.55   74
 L22K   62.5258 -150.7703 GD 34 34 12.00  4.69   78
 WAT7   62.8331 -148.8476 GD 49 49 12.25  4.11   79
  DHY   63.0753 -147.3759 GD 50 50 12.36  3.73   80
  PAX   62.9699 -145.4699 GD 48 48 12.25  4.00   81
 L26K   63.0254 -143.3478 GD 39 39 14.45  5.32   82
 GCSA   64.7461 -156.8792 GD 17 17 17.66  6.66   92
 H20K   65.4924 -154.8808 GD 24 24 15.85  6.67   93
  MLY   65.0304 -150.7442 GD 36 36 14.27  5.50   95
 I23K   65.1479 -149.3603 GD 36 36 12.79  3.84   96
 POKR   65.1171 -147.4335 GD 38 38 13.06  3.92   97
 J25K   64.6130 -145.3697 GD 36 36 13.27  3.69   98
 E19K   67.4572 -157.2316 GD 15 15 15.19  5.64  109
 F21K   67.2221 -153.4830 GD 22 22 13.46  5.23  111
 PS05   66.8133 -150.6646 GD 26 26 13.05  5.12  112
 G24K   66.7004 -147.4754 GD 26 26 12.11  3.73  114
  FYU   66.5657 -145.2342 GD 22 22 13.12  3.63  115
 D20K   68.7132 -156.6132 GD 14 14 16.07  5.09  126
 C21K   69.1565 -154.7833 GD 16 16 15.22  5.21  127
 D22K   68.8799 -152.6821 GD 19 19 14.33  5.10  128
