 BLDW   55.1909 -162.7877 GD 19 19  2.42  1.99    4
 BPPC   56.5843 -158.8258 GD 34 34  3.21  2.03   23
 Q18K   58.6484 -155.0086 GD 59 59  4.45  1.47   42
 AUSB   59.3330 -153.4284 GD 65 65  4.39  1.54   43
 SPWE   61.2735 -152.5590 GD 66 66  4.55  1.55   60
 CAPN   60.7683 -151.1539 GD 69 69  4.55  1.52   61
  GLI   60.8792 -147.0959 GD 62 62  5.50  1.92   63
  BMR   60.9677 -144.6051 GD 60 60  5.77  2.02   64
  CRQ   60.7523 -143.0926 GD 56 56  5.79  2.02   65
 LOGN   60.8240 -141.0048 GD 44 44  6.20  2.31   66
 BRWY   61.3704 -139.0338 GD 34 34  6.05  2.23   67
 L22K   62.5258 -150.7703 GD 54 54  4.67  1.53   78
 WAT7   62.8331 -148.8476 GD 69 69  4.78  1.70   79
  DHY   63.0753 -147.3759 GD 61 61  4.98  1.60   80
  PAX   62.9699 -145.4699 GD 57 57  5.19  1.73   81
 GCSA   64.7461 -156.8792 GD 15 15  3.83  1.04   92
 H20K   65.4924 -154.8808 GD 21 21  3.79  1.68   93
  MLY   65.0304 -150.7442 GD 38 38  4.27  1.58   95
 I23K   65.1479 -149.3603 GD 37 37  4.27  1.55   96
 POKR   65.1171 -147.4335 GD 39 39  4.18  1.55   97
 E19K   67.4572 -157.2316 GD 14 14  4.77  1.78  109
 F21K   67.2221 -153.4830 GD 20 20  3.79  1.51  111
 PS05   66.8133 -150.6646 GD 26 26  4.15  1.53  112
 G24K   66.7004 -147.4754 GD 25 25  4.07  1.55  114
  FYU   66.5657 -145.2342 GD 21 21  3.96  1.61  115
 D22K   68.8799 -152.6821 GD 17 17  3.69  1.61  128
