 T42A   37.0301  -91.0927 GD 35 35  3.61  1.04    2
 T45A   37.0196  -88.6447 GD 40 40  3.88  0.97    3
 T47A   36.9881  -87.1055 GD 28 28  3.92  1.00    4
 Q41A   38.9539  -91.2317 GD 31 31  3.65  1.21    7
 Q44A   38.9032  -89.0170 GD 43 43  3.91  1.13    8
 Q46A   39.0231  -87.3575 GD 37 37  4.20  1.22    9
 N41A   40.7077  -90.8552 GD 35 35  3.66  1.17   12
 N43A   40.9394  -89.1735 GD 44 44  3.83  1.16   13
 N46A   40.8949  -86.7352 GD 26 26  4.23  1.26   14
 K40A   42.6999  -91.1383 GD 34 34  4.17  1.13   17
 J42A   43.3179  -89.1234 GD 38 38  4.18  1.10   18
 SPMN   45.2246  -92.8037 GD 19 19  4.14  1.30   21
 G39A   45.2867  -91.1698 GD 29 29  4.16  1.22   22
 G41A   45.2118  -89.1816 GD 36 36  4.02  1.16   23
 D41A   47.0605  -88.5657 GD 18 18  3.80  0.93   28
