 T42A   37.0301  -91.0927 GD 36 36  8.00  3.15    2
 T45A   37.0196  -88.6447 GD 41 41  7.17  2.37    3
 T47A   36.9881  -87.1055 GD 28 28  6.79  2.65    4
 Q41A   38.9539  -91.2317 GD 32 32  8.06  2.95    7
 Q44A   38.9032  -89.0170 GD 44 44  6.85  2.36    8
 Q46A   39.0231  -87.3575 GD 38 38  6.11  2.29    9
 N41A   40.7077  -90.8552 GD 35 35  7.26  2.62   12
 N43A   40.9394  -89.1735 GD 44 44  6.71  2.78   13
 N46A   40.8949  -86.7352 GD 26 26  5.84  2.27   14
 K40A   42.6999  -91.1383 GD 34 34  7.34  2.82   17
 J42A   43.3179  -89.1234 GD 38 38  7.06  2.73   18
 SPMN   45.2246  -92.8037 GD 19 19  5.88  2.70   21
 G39A   45.2867  -91.1698 GD 29 29  6.01  2.41   22
 G41A   45.2118  -89.1816 GD 36 36  6.42  2.45   23
 D41A   47.0605  -88.5657 GD 18 18  5.92  2.32   28
