  4 :   55.6972 -160.6390  581.69 :   55.1909 -162.7877  BLDW grid:   55.0000 -163.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  115.97 baz:  100.00 residPP(T/U/B)   -2.27 2.34 -22.00 predPP(T/U) 1129.42 6.86 measPPBeam(T/U/AMP) 1127.15 9.20 -0.377 measPPxf(T/U/F/rB/aB) 1128.88 9.20   8.18 -22.00 78.00 fmin 0.05 fmax 0.50 SNRbeam  3.20 SNRmean  2.29 SNRstdev  0.57 SNRminmax  1.57  3.65 amp: -0.8 -1 SAME : NOCONT   NONE stanum 14	sta VNSG VNSO VNBL VNKR VNCG VNSW VNWF SDPT PS1A DOL PN7A DTN DT1 BLDW notused BLDW
 78 :   62.1063 -150.6540  845.01 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  112.33 baz:  105.30 residPP(T/U/B)   -1.11 0.01  0.00 predPP(T/U) 1104.26 6.99 measPPBeam(T/U/AMP) 1103.15 7.00 -0.848 measPPxf(T/U/F/rB/aB) 1106.04 7.00 209.82 0.00 105.00 fmin 0.05 fmax 0.50 SNRbeam 18.77 SNRmean  6.34 SNRstdev  2.44 SNRminmax  2.78 14.02 amp: -0.9 -1 SAME : NOCONT   NONE stanum 47	sta PAX GLI PS10 SCM PWL BAT KNK DHY WAT6 SAW GHO PMR WAT1 RC01 SLK WAT7 FIRE WRH RND MCK CAPN CUT NEA2 L22K TRF SKN STLK RDT SPCN KTH RDSO RED RDDF SPBG RDWB RDJH BPAW NCT SPNN CAST CHUM N19K L20K K20K L19K J20K TTA notused BAT
 79 :   62.7125 -148.3710  740.63 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  111.49 baz:  107.00 residPP(T/U/B)   -1.48 -0.22 -4.00 predPP(T/U) 1098.33 7.02 measPPBeam(T/U/AMP) 1096.85 6.80 -0.791 measPPxf(T/U/F/rB/aB) 1099.79 6.80 211.76 -4.00 103.00 fmin 0.05 fmax 0.50 SNRbeam 17.75 SNRmean  6.63 SNRstdev  2.58 SNRminmax  2.78 13.96 amp: -0.9 -1 SAME : NOCONT   NONE stanum 59	sta N25K WACK MENT PS12 DIV HARP PS11 KLU SCRK FID VMT RIDG PAX GLI PS10 K24K GREN GRES SCM J25K PWL BAT KNK DHY WAT6 SAW PS08 HDA GHO PMR WAT1 RC01 SLK WAT7 POKR CCB FIRE WRH RND MCK MDM CAPN CUT NEA2 L22K TRF I23K SKN STLK SPCN KTH SPBG BPAW SPNN MLY CAST CHUM L20K K20K notused BAT
 80 :   62.8638 -147.4690  751.52 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  111.14 baz:  107.70 residPP(T/U/B)   -1.68 -0.23 -4.00 predPP(T/U) 1095.88 7.03 measPPBeam(T/U/AMP) 1094.20 6.80 -0.772 measPPxf(T/U/F/rB/aB) 1097.24 6.80 183.80 -4.00 104.00 fmin 0.05 fmax 0.50 SNRbeam 15.25 SNRmean  6.61 SNRstdev  2.41 SNRminmax  3.05 13.55 amp: -0.9 -1 SAME : NOCONT   NONE stanum 55	sta GLB BMR L26K N25K WACK MENT PS12 DIV HARP PS11 KLU SCRK J26L FID VMT RIDG PAX GLI PS10 K24K GREN GRES SCM J25K PWL BAT KNK DHY WAT6 SAW PS08 HDA GHO PMR WAT1 RC01 WAT7 POKR CCB FIRE WRH RND MCK MDM CUT NEA2 L22K TRF I23K SKN KTH BPAW MLY CAST CHUM notused BAT
 81 :   62.5968 -146.0770  858.17 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  110.45 baz:  108.90 residPP(T/U/B)   -1.43 -0.25 -2.00 predPP(T/U) 1091.03 7.05 measPPBeam(T/U/AMP) 1089.60 6.80 -0.831 measPPxf(T/U/F/rB/aB) 1092.94 6.80 308.94 -2.00 107.00 fmin 0.05 fmax 0.50 SNRbeam 20.94 SNRmean  6.59 SNRstdev  2.45 SNRminmax  2.50 13.55 amp: -0.9 -1 SAME : NOCONT   NONE stanum 55	sta BVCY BAL PTPK CRQ M27K MCAR VRDI GLB GOAT BMR K27K L26K N25K WACK MENT EYAK PS12 DIV HARP PS11 KLU SCRK J26L FID VMT RIDG PAX GLI PS10 K24K GREN GRES SCM J25K BAT KNK DHY WAT6 SAW PS08 HDA GHO PMR WAT1 WAT7 POKR CCB WRH RND MCK MDM CUT NEA2 L22K TRF notused BAL
 82 :   62.3237 -144.0910 1110.23 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  109.49 baz:  110.70 residPP(T/U/B)   -2.02 -0.09 -2.00 predPP(T/U) 1084.27 7.09 measPPBeam(T/U/AMP) 1082.25 7.00 -0.802 measPPxf(T/U/F/rB/aB) 1086.45 7.00 254.94 -2.00 109.00 fmin 0.05 fmax 0.50 SNRbeam 27.81 SNRmean  6.84 SNRstdev  2.44 SNRminmax  2.50 13.50 amp: -0.9 -1 SAME : NOCONT   NONE stanum 44	sta YUK8 LOGN YUK3 GRNC BARN ISLE BVCY DAWY KIAG BAL TGL PTPK CRQ M27K MCAR VRDI GLB BMR K27K L26K N25K WACK MENT PS12 DIV HARP PS11 KLU SCRK J26L VMT RIDG PAX PS10 K24K GREN GRES SCM J25K DHY WAT6 PS08 HDA WAT1 notused BAL
 92 :   64.6076 -155.9670  379.40 :   64.7461 -156.8792  GCSA grid:   65.0000 -157.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  115.20 baz:   99.70 residPP(T/U/B)    7.25 -0.29 -10.00 predPP(T/U) 1124.15 6.88 measPPBeam(T/U/AMP) 1131.40 6.60 -0.609 measPPxf(T/U/F/rB/aB) 1133.98 6.60  32.71 -10.00 90.00 fmin 0.05 fmax 0.50 SNRbeam 10.31 SNRmean  5.54 SNRstdev  2.03 SNRminmax  4.00 11.92 amp: -0.9 -1 SAME : NOCONT   NONE stanum 15	sta CAST CHUM I21K H21K K20K J20K H20K TTA J19K GCSA G19K J17K F18K G17K H16K notused CAST
 93 :   65.2578 -153.6150  404.85 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  114.34 baz:  101.50 residPP(T/U/B)    6.68 -0.32 -10.00 predPP(T/U) 1118.22 6.92 measPPBeam(T/U/AMP) 1124.90 6.60 -0.621 measPPxf(T/U/F/rB/aB) 1128.17 6.60  40.14 -10.00 91.00 fmin 0.05 fmax 0.50 SNRbeam 11.00 SNRmean  6.18 SNRstdev  3.13 SNRminmax  1.52 16.26 amp: -0.9 -1 SAME : NOCONT   NONE stanum 20	sta I23K PS06 BPAW MLY G23K CAST CHUM PS05 H22K I21K H21K K20K J20K H20K J19K GCSA G19K E19K F18K G17K notused BPAW
 95 :   64.6229 -149.6420  611.24 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  112.56 baz:  105.20 residPP(T/U/B)   -3.17 -0.78 -6.00 predPP(T/U) 1105.82 6.98 measPPBeam(T/U/AMP) 1102.65 6.20 -0.553 measPPxf(T/U/F/rB/aB) 1105.78 6.20  49.72 -6.00 99.00 fmin 0.05 fmax 0.50 SNRbeam 14.12 SNRmean  6.56 SNRstdev  3.49 SNRminmax  1.52 17.99 amp: -0.9 -1 SAME : NOCONT   NONE stanum 36	sta K24K GREN GRES J25K DHY PS08 HDA WAT1 WAT7 POKR CCB WRH RND MCK MDM H24K G24K NEA2 TRF I23K KTH PS06 BPAW MLY G23K CAST COLD CHUM PS05 H22K I21K H21K K20K J20K H20K J19K notused BPAW
 96 :   64.6704 -149.0070  616.58 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  112.31 baz:  105.70 residPP(T/U/B)   -2.88 -0.79 -6.00 predPP(T/U) 1104.08 6.99 measPPBeam(T/U/AMP) 1101.20 6.20 -0.599 measPPxf(T/U/F/rB/aB) 1104.17 6.20  68.66 -6.00 100.00 fmin 0.05 fmax 0.50 SNRbeam 15.22 SNRmean  6.79 SNRstdev  3.45 SNRminmax  1.52 17.57 amp: -0.9 -1 SAME : NOCONT   NONE stanum 37	sta RIDG PS10 K24K GREN GRES J25K DHY FYU PS08 HDA WAT1 WAT7 POKR CCB WRH RND MCK MDM H24K G24K NEA2 TRF I23K KTH PS06 BPAW MLY G23K CAST COLD CHUM PS05 H22K I21K H21K J20K H20K notused BPAW
 97 :   64.6517 -148.0740  682.04 :   65.1171 -147.4335  POKR grid:   65.0000 -147.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  111.92 baz:  106.50 residPP(T/U/B)   -2.66 -0.80 -6.00 predPP(T/U) 1101.36 7.00 measPPBeam(T/U/AMP) 1098.70 6.20 -0.638 measPPxf(T/U/F/rB/aB) 1101.70 6.20  86.39 -6.00 100.00 fmin 0.05 fmax 0.50 SNRbeam 16.12 SNRmean  7.03 SNRstdev  3.32 SNRminmax  1.52 17.31 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta I27K SCRK J26L RIDG PAX PS10 K24K GREN GRES J25K DHY FYU PS08 HDA WAT1 WAT7 POKR CCB WRH RND MCK MDM H24K G24K NEA2 TRF I23K KTH PS06 BPAW MLY G23K COLD CHUM PS05 H22K I21K H21K notused BPAW
 98 :   64.1949 -146.8160  745.56 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  111.26 baz:  107.70 residPP(T/U/B)   -1.83 -0.62 -4.00 predPP(T/U) 1096.78 7.02 measPPBeam(T/U/AMP) 1094.95 6.40 -0.675 measPPxf(T/U/F/rB/aB) 1097.56 6.40  72.56 -4.00 104.00 fmin 0.05 fmax 0.50 SNRbeam 18.32 SNRmean  6.98 SNRstdev  2.55 SNRminmax  3.07 13.55 amp: -0.9 -1 SAME : NOCONT   NONE stanum 35	sta K27K L26K MENT I27K HARP SCRK J26L RIDG PAX PS10 K24K GREN GRES J25K DHY WAT6 FYU PS08 HDA WAT1 WAT7 POKR CCB WRH RND MCK MDM H24K G24K NEA2 TRF I23K PS06 BPAW MLY notused BPAW
112 :   66.3444 -149.8550  525.73 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  113.08 baz:  104.30 residPP(T/U/B)    4.78 -0.36 -10.00 predPP(T/U) 1109.47 6.96 measPPBeam(T/U/AMP) 1114.25 6.60 -0.763 measPPxf(T/U/F/rB/aB) 1119.09 6.60  85.00 -10.00 94.00 fmin 0.05 fmax 0.50 SNRbeam 15.36 SNRmean 10.32 SNRstdev  8.40 SNRminmax  1.52 34.04 amp: -0.9 -1 SAME : NOCONT   NONE stanum 22	sta FYU POKR CCB MDM H24K G24K NEA2 I23K PS06 E24K MLY G23K PS04 COLD PS05 TOLK H22K I21K H21K E22K D22K H20K notused CCB
114 :   65.9684 -149.0200  522.71 :   66.7004 -147.4754  G24K grid:   67.0000 -147.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  112.66 baz:  105.20 residPP(T/U/B)    5.82 -0.38 -10.00 predPP(T/U) 1106.53 6.98 measPPBeam(T/U/AMP) 1112.35 6.60 -0.750 measPPxf(T/U/F/rB/aB) 1116.47 6.60  86.09 -10.00 95.00 fmin 0.05 fmax 0.50 SNRbeam 14.90 SNRmean  9.53 SNRstdev  7.90 SNRminmax  1.52 34.03 amp: -0.9 -1 SAME : NOCONT   NONE stanum 24	sta J25K FYU PS08 HDA POKR CCB WRH MDM H24K G24K NEA2 I23K PS06 E24K MLY G23K PS04 COLD PS05 TOLK H22K I21K H21K E22K notused CCB
115 :   65.9201 -147.2950  554.70 :   66.5657 -145.2342   FYU grid:   67.0000 -145.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  111.97 baz:  106.70 residPP(T/U/B)    5.84 -0.20 -12.00 predPP(T/U) 1101.71 7.00 measPPBeam(T/U/AMP) 1107.55 6.80 -0.773 measPPxf(T/U/F/rB/aB) 1111.67 6.80  79.73 -12.00 95.00 fmin 0.05 fmax 0.50 SNRbeam 18.90 SNRmean  9.77 SNRstdev  7.72 SNRminmax  1.52 33.35 amp: -0.9 -1 SAME : NOCONT   NONE stanum 20	sta I27K J26L E27K J25K FYU PS08 HDA POKR CCB WRH MDM H24K G24K I23K PS06 E24K G23K PS04 COLD PS05 notused CCB
