 M16K   61.0224 -158.9593 GD 17 17  1.49  0.37   57
 CAPN   60.7683 -151.1539 GD 39 39  1.42  0.44   61
  GLI   60.8792 -147.0959 GD 61 61  1.67  0.64   63
  BMR   60.9677 -144.6051 GD 60 60  1.84  0.68   64
  CRQ   60.7523 -143.0926 GD 53 53  1.88  0.67   65
 LOGN   60.8240 -141.0048 GD 42 42  1.97  0.66   66
 L22K   62.5258 -150.7703 GD 39 39  1.84  0.83   78
 WAT7   62.8331 -148.8476 GD 54 54  2.02  0.95   79
  DHY   63.0753 -147.3759 GD 54 54  2.03  0.94   80
  PAX   62.9699 -145.4699 GD 51 51  1.98  0.90   81
 L26K   63.0254 -143.3478 GD 39 39  2.10  0.86   82
 GCSA   64.7461 -156.8792 GD 16 16  2.60  1.41   92
 H20K   65.4924 -154.8808 GD 24 24  3.16  1.38   93
  MLY   65.0304 -150.7442 GD 36 36  3.12  1.15   95
 I23K   65.1479 -149.3603 GD 35 35  3.12  1.04   96
 PS08   64.5422 -146.8221 GD 38 38  2.83  0.89   97
 J25K   64.6130 -145.3697 GD 35 35  2.79  0.89   98
 I26K   65.3064 -143.1541 GD 20 20  3.15  1.15   99
 E19K   67.4572 -157.2316 GD 15 15  4.50  1.62  109
 F21K   67.2221 -153.4830 GD 22 22  4.52  1.55  111
 PS05   66.8133 -150.6646 GD 25 25  4.03  1.49  112
 G24K   66.7004 -147.4754 GD 26 26  3.84  1.36  114
 D20K   68.7132 -156.6132 GD 15 15  5.36  1.40  126
 C21K   69.1565 -154.7833 GD 16 16  5.89  1.66  127
 D22K   68.8799 -152.6821 GD 19 19  5.47  2.05  128
